experiment,experiment_label,model,optimizer,seed,total_trainings,total_runtime_minutes,best_fitness,trainings_to_95pct_final_best,minutes_to_95pct_final_best
exp1_holdout_mcc_f1,Experimento 1 - Holdout + MCC/F1,rf,gwo,1,1000,42.720839961832766,0.425330791645088,296,17.31705262230001
exp1_holdout_mcc_f1,Experimento 1 - Holdout + MCC/F1,rf,gwo,2,1000,60.028093653099496,0.4210222203407884,69,3.52308159673333
exp1_holdout_mcc_f1,Experimento 1 - Holdout + MCC/F1,rf,gwo,3,1000,51.26436957343382,0.4233754481269407,140,6.846676216249883
exp1_holdout_mcc_f1,Experimento 1 - Holdout + MCC/F1,rf,pso,1,1000,23.57538131407767,0.4214655918521407,35,1.9276149791000232
exp1_holdout_mcc_f1,Experimento 1 - Holdout + MCC/F1,rf,pso,2,1000,41.614366500898996,0.4227524779319299,175,5.585874444966643
exp1_holdout_mcc_f1,Experimento 1 - Holdout + MCC/F1,rf,pso,3,1000,177.7309495552681,0.4204013975352927,61,7.57582278263335
exp1_holdout_mcc_f1,Experimento 1 - Holdout + MCC/F1,rf,random_search,1,1000,87.12354835968186,0.4189866589776466,301,26.54463443559968
exp1_holdout_mcc_f1,Experimento 1 - Holdout + MCC/F1,rf,random_search,2,1000,85.82112281950073,0.4207699027005145,619,55.57373753226778
exp1_holdout_mcc_f1,Experimento 1 - Holdout + MCC/F1,rf,random_search,3,1000,83.99586134766669,0.4206495240658876,776,65.83045412965002
exp1_holdout_mcc_f1,Experimento 1 - Holdout + MCC/F1,svm,de,1,1000,5.397875297983196,0.4281156784289721,5,1.2921753299666459
exp1_holdout_mcc_f1,Experimento 1 - Holdout + MCC/F1,svm,de,2,1000,4.1689941816647655,0.4488860733177172,171,0.7612069429665855
exp1_holdout_mcc_f1,Experimento 1 - Holdout + MCC/F1,svm,de,3,1000,4.050364659103918,0.4351915092327926,53,0.2109234832500533
exp1_holdout_mcc_f1,Experimento 1 - Holdout + MCC/F1,svm,ga,1,1000,418.92754252712695,0.4289440598729244,815,367.1613042030704
exp1_holdout_mcc_f1,Experimento 1 - Holdout + MCC/F1,svm,ga,2,1000,189.66280337178407,0.4279702358330778,780,143.94152097136842
exp1_holdout_mcc_f1,Experimento 1 - Holdout + MCC/F1,svm,ga,3,1000,236.8515655120596,0.4275541695372213,3,0.7762171550499867
exp1_holdout_mcc_f1,Experimento 1 - Holdout + MCC/F1,svm,gwo,1,1000,4.134479403283467,0.4541257904237485,75,0.28767756463334987
exp1_holdout_mcc_f1,Experimento 1 - Holdout + MCC/F1,svm,gwo,2,1000,4.50935808183358,0.4508915085807932,411,1.8284063391833871
exp1_holdout_mcc_f1,Experimento 1 - Holdout + MCC/F1,svm,pso,1,1000,674.6854905442841,0.4442612664026888,225,126.90887778300021
exp1_holdout_mcc_f1,Experimento 1 - Holdout + MCC/F1,svm,pso,2,1000,768.4045433031006,0.4492207336688002,228,132.16467358755023
exp1_holdout_mcc_f1,Experimento 1 - Holdout + MCC/F1,svm,pso,3,1000,752.0454355428515,0.4436895753321895,32,22.598325160150004
exp1_holdout_mcc_f1,Experimento 1 - Holdout + MCC/F1,svm,random_search,1,1000,426.2357181814154,0.4489119110513445,501,217.45222704409935
exp1_holdout_mcc_f1,Experimento 1 - Holdout + MCC/F1,svm,random_search,2,1000,421.9851124122825,0.4359075386162145,956,403.13778475298227
exp1_holdout_mcc_f1,Experimento 1 - Holdout + MCC/F1,svm,random_search,3,1000,419.7703353769672,0.439305643650698,351,145.23188817476645
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,cnn,de,1,1000,3.1972684072021966,0.6382525823879338,123,0.511970896499406
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,cnn,de,2,1000,2.222741778436163,0.6393375275822464,2,0.00781794106660527
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,cnn,de,3,1000,3.0509950459378152,0.6379648028073877,85,0.26059261469987777
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,cnn,ga,1,1000,8.428932272179917,0.6381198390934223,140,1.1898148853133534
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,cnn,ga,2,1000,6.696808504564674,0.6383190202083174,994,6.645423339064715
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,cnn,ga,3,1000,4.295757462604827,0.6370791269588072,4,0.01506282998325332
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,cnn,gwo,1,1000,3.76732479575027,0.6406216980068726,641,2.3189475390496828
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,cnn,gwo,2,1000,3.6274309931485424,0.6403117136656407,2,0.009122038299998773
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,cnn,gwo,3,1000,3.3714471815833043,0.6397361103891297,156,0.6024667972667277
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,cnn,pso,1,1000,3.208416466547896,0.6387617919594797,75,0.24167777168319535
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,cnn,pso,2,1000,6.348672587417059,0.6397581828035599,2,0.008760733266656945
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,cnn,pso,3,1000,2.801179481051561,0.6377212121711204,54,0.17186679155001908
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,cnn,random_search,1,1000,4.34689084624994,0.6390054267111653,295,1.2359587892329726
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,cnn,random_search,2,1000,4.204152702649844,0.6401346049651757,708,2.9399949482172203
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,cnn,random_search,3,1000,4.210768935964733,0.6386290486649682,175,0.6966640317155299
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,mlp,de,1,1000,2.0935256845008055,0.6495221601673504,340,0.7957998818500298
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,mlp,de,2,1000,1.9079299035321873,0.648902191484886,24,0.04684187675000731
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,mlp,de,3,1000,2.2197278303998544,0.649322890821618,79,0.22000498201668198
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,mlp,ga,1,1000,3.2008516243505647,0.647485189534911,12,0.0375564572333341
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,mlp,ga,2,1000,1.746289765867061,0.648481492148154,56,0.10232995888335188
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,mlp,ga,3,1000,2.913339650817139,0.6491236655913043,265,1.4089088135668286
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,mlp,gwo,1,1000,2.244572676250053,0.6492785695310832,670,1.5790088769333612
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,mlp,gwo,2,1000,2.0728880820333826,0.6496107145175829,229,0.4149489769166733
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,mlp,gwo,3,1000,1.9774206107166143,0.6491457821211531,30,0.06441321550000034
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,mlp,pso,1,1000,2.0866776587333495,0.6492786136465019,231,0.488894074416699
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,mlp,pso,2,1000,1.9560302855833254,0.6492121758261182,114,0.19260343898332424
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,mlp,pso,3,1000,2.287109060150038,0.6492121758261182,17,0.05033732013333367
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,mlp,random_search,1,1000,2.2677914082333404,0.6505409322337908,447,0.975683488350007
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,mlp,random_search,2,1000,2.3852962658666717,0.6488357536645024,15,0.03432009761666752
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,mlp,random_search,3,1000,2.459990778250022,0.6485922512590725,12,0.038552549183331536
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,rf,de,1,1000,226.23450147634892,0.769689045854816,28,4.2178042701333345
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,rf,de,2,1000,228.0171974296403,0.7694012662742699,51,6.477056306349975
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,rf,de,3,1000,189.14898676624475,0.7701318176059784,42,4.194466754716814
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,rf,ga,1,1000,55.3668521160838,0.7634239799798348,32,3.941707323083392
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,rf,ga,2,1000,65.21417058028592,0.7696004915045835,113,11.035946829766756
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,rf,ga,3,1000,122.81164834275211,0.7696890899702346,2,0.3008409603500089
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,rf,gwo,1,1000,203.97298960048354,0.7709067784590589,11,2.3477575562333795
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,rf,gwo,2,1000,119.36088834194976,0.7712388352147211,68,7.690114521033502
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,rf,gwo,3,1000,156.51240576428347,0.7710617706296747,42,5.202524671616811
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,rf,pso,1,1000,184.02327945555032,0.770331042836292,43,7.079993730716629
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,rf,pso,2,1000,89.8911021643839,0.7711503249799072,74,7.107786166000036
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,rf,pso,3,1000,241.5410541039826,0.7682943810117827,42,4.797865928299931
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,rf,random_search,1,1000,91.08769704175005,0.7677405413417719,29,5.317194469633334
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,rf,random_search,2,1000,85.57977492843307,0.7694677040946534,492,45.69539862193317
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,rf,random_search,3,1000,96.86859300623374,0.7684714014814105,2,0.2833422959666677
