model_type,fitness_mode,accuracy_test,balanced_accuracy_test,mcc_test,f1_test,auc_roc_test
cnn,Accuracy-CV,0.6338866755201417,0.6334826808751195,0.2673363580897761,0.6455567551758142,0.6740867165520978
cnn,MCC/F1,0.6133244798583444,0.6133336861922626,0.2243587558822561,0.5969266100201386,0.6322139618927058
mlp,Accuracy-CV,0.6497786631252767,0.6495442900441588,0.2991907188159344,0.6582099443929337,0.6936469955164862
mlp,MCC/F1,0.6304116865869853,0.6301935798788076,0.2605220234246349,0.6385951263613019,0.6674429416084633
rf,Accuracy-CV,0.6065294378043382,0.6057213281904145,0.21223447274073998,0.6265493598686371,0.6427840716538866
rf,MCC/F1,0.6447985834440018,0.6439027667815663,0.2893051446175375,0.664499248713025,0.6856891151106691
svm,Accuracy-CV,0.5889110225763612,0.5871020798828508,0.17729584397581785,0.6282330558149987,0.6205789091807277
svm,MCC/F1,0.6035635236830456,0.6029333897907619,0.2135840791685179,0.6016597561749174,0.6159536637416132
