model_type,optimizer,seed,runtime_seconds_test,model_backend,official_experiment,fitness_formula,decoded_hyperparameters,accuracy_test,balanced_accuracy_test,precision_test,recall_test,f1_test,mcc_test,auc_roc_test,auc_pr_test,confusion_matrix_test,best_validation_fitness,worst_validation_fitness,source_file,fitness_mode,fitness_mode_label
cnn,ga,3,0.1720333789999131,cuda,True,0.6 * MCC + 0.4 * F1,"{""n_filters"": 81, ""kernel_size"": 3, ""dense_neurons"": 98, ""learning_rate"": 3.1705404355017116e-05, ""l2_alpha"": 0.0002152726459608002, ""dropout_rate"": 0.021871542456880458, ""batch_size"": 32}",0.6357901726427623,0.6356230937347691,0.6422077922077922,0.644299674267101,0.6432520325203253,0.2712650326622786,0.6761771704683541,0.6502898500170412,"[[926, 551], [546, 989]]",0.6545544963741732,0.4362241639104067,outputs/article_official_accuracy/metrics/cnn_ga_best_by_seed.csv,accuracy_cv,Accuracy-CV
cnn,ga,3,0.0901971050006977,cuda,True,0.6 * MCC + 0.4 * F1,"{""n_filters"": 24, ""kernel_size"": 5, ""dense_neurons"": 184, ""learning_rate"": 0.000401567901432843, ""l2_alpha"": 0.000150416673533651, ""dropout_rate"": 0.029272074901248713, ""batch_size"": 128}",0.6314741035856574,0.6309920408257781,0.6337319068596602,0.6560260586319219,0.6446862996158771,0.2623342184668913,0.6725989603893798,0.648639093334568,"[[895, 582], [528, 1007]]",0.4016084275309138,0.1057832979843612,outputs/article_official/metrics/cnn_ga_best_by_seed.csv,mcc_f1,MCC/F1
cnn,gwo,1,0.2789205509980093,cuda,True,0.6 * MCC + 0.4 * F1,"{""n_filters"": 53, ""kernel_size"": 4, ""dense_neurons"": 255, ""learning_rate"": 6.268617730625557e-06, ""l2_alpha"": 1.75191611646675e-07, ""dropout_rate"": 0.005841072390780011, ""batch_size"": 64}",0.6321381142098274,0.6318993293474977,0.6376531270148291,0.644299674267101,0.6409591704471809,0.2638675676330214,0.6727692148227215,0.6471301672438431,"[[915, 562], [546, 989]]",0.6560081227709708,0.3466704221822702,outputs/article_official_accuracy/metrics/cnn_gwo_best_by_seed.csv,accuracy_cv,Accuracy-CV
cnn,gwo,1,0.3526756539995404,cuda,True,0.6 * MCC + 0.4 * F1,"{""n_filters"": 78, ""kernel_size"": 5, ""dense_neurons"": 217, ""learning_rate"": 0.003952671111218985, ""l2_alpha"": 1e-08, ""dropout_rate"": 0.0024202352969737734, ""batch_size"": 64}",0.6397742363877822,0.6404656414644527,0.6600284495021337,0.6045602605863192,0.6310778646718803,0.2815004602384493,0.6797207562649,0.6546316253448361,"[[999, 478], [607, 928]]",0.4071926233964875,-0.0115837276091896,outputs/article_official/metrics/cnn_gwo_best_by_seed.csv,mcc_f1,MCC/F1
cnn,gwo,2,0.0996010070011834,cuda,True,0.6 * MCC + 0.4 * F1,"{""n_filters"": 9, ""kernel_size"": 3, ""dense_neurons"": 225, ""learning_rate"": 0.0005372280434581527, ""l2_alpha"": 5.603985573144832e-07, ""dropout_rate"": 0.05511141739828095, ""batch_size"": 64}",0.6298140770252324,0.6294145408753988,0.633248730964467,0.6501628664495114,0.6415943426550949,0.2590610864999868,0.6723673967170888,0.6493596305207656,"[[899, 578], [537, 998]]",0.6555803489534976,0.3478884451595177,outputs/article_official_accuracy/metrics/cnn_gwo_best_by_seed.csv,accuracy_cv,Accuracy-CV
cnn,gwo,2,0.7099018380013149,cuda,True,0.6 * MCC + 0.4 * F1,"{""n_filters"": 8, ""kernel_size"": 5, ""dense_neurons"": 16, ""learning_rate"": 4.977777889419924e-07, ""l2_alpha"": 1.8483524607892367e-05, ""dropout_rate"": 0.015845133062652842, ""batch_size"": 16}",0.4634794156706507,0.4563731836035277,0.4845124282982792,0.8254071661237785,0.6106024096385542,-0.1289427283492196,0.3373607034242754,0.4049805976890451,"[[129, 1348], [268, 1267]]",0.4135436715881966,-0.0621568037457598,outputs/article_official/metrics/cnn_gwo_best_by_seed.csv,mcc_f1,MCC/F1
cnn,gwo,3,0.1506316199956927,cuda,True,0.6 * MCC + 0.4 * F1,"{""n_filters"": 55, ""kernel_size"": 3, ""dense_neurons"": 51, ""learning_rate"": 0.00015508081320848816, ""l2_alpha"": 5.647700995424075e-07, ""dropout_rate"": 0.08711391497935891, ""batch_size"": 32}",0.6318061088977424,0.631611969857026,0.6379533678756477,0.6416938110749185,0.6398181227671322,0.2632589511939275,0.6721711189377182,0.6477271168499082,"[[918, 559], [550, 985]]",0.6548866658505238,0.3477405972802021,outputs/article_official_accuracy/metrics/cnn_gwo_best_by_seed.csv,accuracy_cv,Accuracy-CV
cnn,gwo,3,0.4037069009991683,cuda,True,0.6 * MCC + 0.4 * F1,"{""n_filters"": 10, ""kernel_size"": 5, ""dense_neurons"": 119, ""learning_rate"": 1.769495837635703e-05, ""l2_alpha"": 7.83921358802981e-06, ""dropout_rate"": 0.011797465238775534, ""batch_size"": 32}",0.6318061088977424,0.6310619510011269,0.6306748466257669,0.6697068403908795,0.6496050552922591,0.2629682027015013,0.6725919032107956,0.6462162760765473,"[[875, 602], [507, 1028]]",0.406374067144143,-0.032801893313165,outputs/article_official/metrics/cnn_gwo_best_by_seed.csv,mcc_f1,MCC/F1
cnn,pso,1,0.2540653659962117,cuda,True,0.6 * MCC + 0.4 * F1,"{""n_filters"": 122, ""kernel_size"": 5, ""dense_neurons"": 256, ""learning_rate"": 3.6062982546165696e-06, ""l2_alpha"": 2.920494489292171e-08, ""dropout_rate"": 0.0, ""batch_size"": 112}",0.6367861885790173,0.6367026215213072,0.6444007858546169,0.641042345276873,0.6427171783148269,0.2733811278632138,0.6726064586416254,0.6469477748511894,"[[934, 543], [551, 984]]",0.6557501443036001,0.3516152446720672,outputs/article_official_accuracy/metrics/cnn_pso_best_by_seed.csv,accuracy_cv,Accuracy-CV
cnn,pso,1,0.240847475000919,cuda,True,0.6 * MCC + 0.4 * F1,"{""n_filters"": 51, ""kernel_size"": 5, ""dense_neurons"": 213, ""learning_rate"": 8.117228267744327e-06, ""l2_alpha"": 2.0125088600092138e-06, ""dropout_rate"": 0.061247884356014116, ""batch_size"": 112}",0.6344621513944223,0.6343969089557802,0.6423884514435696,0.637785016286645,0.6400784570120954,0.2687631759417553,0.6721384794867666,0.6454638650684742,"[[932, 545], [556, 979]]",0.4072631865270627,-0.0115837276091896,outputs/article_official/metrics/cnn_pso_best_by_seed.csv,mcc_f1,MCC/F1
cnn,pso,2,0.1285207999972044,cuda,True,0.6 * MCC + 0.4 * F1,"{""n_filters"": 94, ""kernel_size"": 3, ""dense_neurons"": 141, ""learning_rate"": 7.927877705512369e-05, ""l2_alpha"": 1.7545850983946296e-05, ""dropout_rate"": 0.021602925962559666, ""batch_size"": 64}",0.6334661354581673,0.6332150520797726,0.6387636831938184,0.6462540716612378,0.6424870466321243,0.2665105210196271,0.6732623351762862,0.6484697214675784,"[[916, 561], [543, 992]]",0.6548497596296469,0.471639826260682,outputs/article_official_accuracy/metrics/cnn_pso_best_by_seed.csv,accuracy_cv,Accuracy-CV
cnn,pso,2,0.7265201350001007,cuda,True,0.6 * MCC + 0.4 * F1,"{""n_filters"": 88, ""kernel_size"": 5, ""dense_neurons"": 144, ""learning_rate"": 9.755737831284927e-07, ""l2_alpha"": 2.3257443322234833e-05, ""dropout_rate"": 0.0039409566845654, ""batch_size"": 16}",0.6354581673306773,0.6345554749370919,0.63202416918429,0.6814332247557003,0.6557993730407523,0.270387670288489,0.6712166355342173,0.6459433209088039,"[[868, 609], [489, 1046]]",0.4133384054954492,0.0,outputs/article_official/metrics/cnn_pso_best_by_seed.csv,mcc_f1,MCC/F1
cnn,pso,3,0.1859220180049305,cuda,True,0.6 * MCC + 0.4 * F1,"{""n_filters"": 55, ""kernel_size"": 3, ""dense_neurons"": 51, ""learning_rate"": 0.00015508081320848816, ""l2_alpha"": 5.647700995424075e-07, ""dropout_rate"": 0.08711391497935891, ""batch_size"": 32}",0.6318061088977424,0.631611969857026,0.6379533678756477,0.6416938110749185,0.6398181227671322,0.2632589511939275,0.6721711189377182,0.6477271168499082,"[[918, 559], [550, 985]]",0.6548866658505238,0.3737697126162689,outputs/article_official_accuracy/metrics/cnn_pso_best_by_seed.csv,accuracy_cv,Accuracy-CV
cnn,pso,3,0.2549580020004214,cuda,True,0.6 * MCC + 0.4 * F1,"{""n_filters"": 84, ""kernel_size"": 3, ""dense_neurons"": 156, ""learning_rate"": 3.4585824016096615e-06, ""l2_alpha"": 1e-08, ""dropout_rate"": 0.08252481898617238, ""batch_size"": 112}",0.6341301460823373,0.6329455560725918,0.6274278987639789,0.6944625407166124,0.6592455163883735,0.2680520948596062,0.6683856042378357,0.6419097853913915,"[[844, 633], [469, 1066]]",0.4084226341156506,-0.0083283145534442,outputs/article_official/metrics/cnn_pso_best_by_seed.csv,mcc_f1,MCC/F1
cnn,random_search,1,0.1735208110039821,cuda,True,0.6 * MCC + 0.4 * F1,"{""n_filters"": 13, ""kernel_size"": 4, ""dense_neurons"": 200, ""learning_rate"": 3.138085688139703e-05, ""l2_alpha"": 0.004472335627995512, ""dropout_rate"": 0.04598379478447295, ""batch_size"": 112}",0.6344621513944223,0.6337829344189627,0.6339506172839506,0.6690553745928339,0.6510301109350237,0.2682860095809328,0.6747756589089161,0.6479804663306852,"[[884, 593], [508, 1027]]",0.6559051156401046,0.3463382036952975,outputs/article_official_accuracy/metrics/cnn_random_search_best_by_seed.csv,accuracy_cv,Accuracy-CV
cnn,random_search,1,0.2829203590008546,cuda,True,0.6 * MCC + 0.4 * F1,"{""n_filters"": 38, ""kernel_size"": 5, ""dense_neurons"": 203, ""learning_rate"": 3.6480401804026622e-06, ""l2_alpha"": 8.131583017233526e-08, ""dropout_rate"": 0.010240712821765441, ""batch_size"": 64}",0.6314741035856574,0.6311455344599824,0.6357827476038339,0.6482084690553745,0.6419354838709678,0.2624439127958697,0.6708174638705537,0.644893490523611,"[[907, 570], [540, 995]]",0.4072905354522074,-0.0259192301722639,outputs/article_official/metrics/cnn_random_search_best_by_seed.csv,mcc_f1,MCC/F1
cnn,random_search,2,0.4326620669962722,cuda,True,0.6 * MCC + 0.4 * F1,"{""n_filters"": 103, ""kernel_size"": 4, ""dense_neurons"": 131, ""learning_rate"": 1.6403387706384287e-06, ""l2_alpha"": 0.0007930004760565662, ""dropout_rate"": 0.09219136077897805, ""batch_size"": 32}",0.6351261620185923,0.63461347612358,0.636762860727729,0.6612377850162866,0.6487695749440716,0.2696377524569002,0.6739340903627611,0.6455263728845415,"[[898, 579], [520, 1015]]",0.6545253274314633,0.3458144274114441,outputs/article_official_accuracy/metrics/cnn_random_search_best_by_seed.csv,accuracy_cv,Accuracy-CV
cnn,random_search,2,0.7798379020005086,cuda,True,0.6 * MCC + 0.4 * F1,"{""n_filters"": 127, ""kernel_size"": 5, ""dense_neurons"": 114, ""learning_rate"": 0.000763113349712182, ""l2_alpha"": 6.704655814902088e-07, ""dropout_rate"": 0.03313424769676626, ""batch_size"": 16}",0.6371181938911022,0.6367213671519212,0.6402284263959391,0.657328990228013,0.6486660237865638,0.2736878381869169,0.6799520994003603,0.6561831733189779,"[[910, 567], [526, 1009]]",0.4084000706015724,-0.0445374896166275,outputs/article_official/metrics/cnn_random_search_best_by_seed.csv,mcc_f1,MCC/F1
cnn,random_search,3,0.1253141760025755,cuda,True,0.6 * MCC + 0.4 * F1,"{""n_filters"": 21, ""kernel_size"": 5, ""dense_neurons"": 200, ""learning_rate"": 5.7368676636879905e-05, ""l2_alpha"": 1.0137175897560422e-07, ""dropout_rate"": 0.07709558633347359, ""batch_size"": 112}",0.6334661354581673,0.6331766786712214,0.6382296343810134,0.6482084690553745,0.643180349062702,0.2664690344038883,0.6727588495916761,0.6450201852901523,"[[913, 564], [540, 995]]",0.655145281408788,0.3458733938099631,outputs/article_official_accuracy/metrics/cnn_random_search_best_by_seed.csv,accuracy_cv,Accuracy-CV
cnn,random_search,3,0.265352840999185,cuda,True,0.6 * MCC + 0.4 * F1,"{""n_filters"": 42, ""kernel_size"": 5, ""dense_neurons"": 63, ""learning_rate"": 1.1805544150187997e-07, ""l2_alpha"": 0.001103093029841739, ""dropout_rate"": 0.07800690247610279, ""batch_size"": 80}",0.4903718459495352,0.5,0.0,0.0,0.0,0.0,0.4013243236686743,0.4476972813779238,"[[1477, 0], [1535, 0]]",0.4050280401239825,-0.0476844522672905,outputs/article_official/metrics/cnn_random_search_best_by_seed.csv,mcc_f1,MCC/F1
mlp,de,1,0.1170116249995771,cuda,True,0.6 * MCC + 0.4 * F1,"{""hidden_neurons"": 500, ""learning_rate"": 0.0003877929246080789, ""l2_alpha"": 7.974324528059533e-06, ""dropout_rate"": 0.0, ""batch_size"": 64}",0.6520584329349269,0.6518654107829278,0.6576051779935275,0.6618892508143323,0.6597402597402597,0.3037763808208528,0.6946477916544452,0.6742519557169936,"[[948, 529], [519, 1016]]",0.660082290664614,0.3458807402531956,outputs/article_official_accuracy/metrics/mlp_de_best_by_seed.csv,accuracy_cv,Accuracy-CV
mlp,de,1,0.1227913010000065,cuda,True,0.6 * MCC + 0.4 * F1,"{""hidden_neurons"": 485, ""learning_rate"": 0.0006439215116667521, ""l2_alpha"": 0.00022812587513384042, ""dropout_rate"": 0.02852262731710685, ""batch_size"": 64}",0.651062416998672,0.6510161234476963,0.6590013140604468,0.6534201954397394,0.6561988877984952,0.3019932880323998,0.6939703025103707,0.673586018931658,"[[958, 519], [532, 1003]]",0.4269327388612953,0.0061879451235311,outputs/article_official/metrics/mlp_de_best_by_seed.csv,mcc_f1,MCC/F1
mlp,de,2,0.1848149029992782,cuda,True,0.6 * MCC + 0.4 * F1,"{""hidden_neurons"": 159, ""learning_rate"": 0.000634846216054365, ""l2_alpha"": 4.273959577302123e-07, ""dropout_rate"": 0.027432403626851617, ""batch_size"": 80}",0.648406374501992,0.6480776907147379,0.6519795657726692,0.6651465798045603,0.6584972589487262,0.2963357450965052,0.6930883757241878,0.6736195861205597,"[[932, 545], [514, 1021]]",0.6606874990565649,0.4208745273783439,outputs/article_official_accuracy/metrics/mlp_de_best_by_seed.csv,accuracy_cv,Accuracy-CV
