fitness_mode,accuracy_test,balanced_accuracy_test,mcc_test,f1_test,auc_roc_test
Accuracy-CV,0.6197764497565293,0.618962594748136,0.2390143484055671,0.639637278813096,0.6577741732257996
MCC/F1,0.6230245683930943,0.6225908556608496,0.2469425007732366,0.6254201853173457,0.6503249205883628
