model_type,optimizer,seed,runtime_seconds_test,model_backend,official_experiment,fitness_formula,decoded_hyperparameters,accuracy_test,balanced_accuracy_test,precision_test,recall_test,f1_test,mcc_test,auc_roc_test,auc_pr_test,confusion_matrix_test,best_validation_fitness,worst_validation_fitness
svm,de,1,2.0792492030004723,cuml,True,0.6 * MCC + 0.4 * F1,"{""C"": 0.5275588756087133, ""gamma"": 0.00031101233434331486, ""kernel"": ""linear""}",0.649070385126162,0.6480384351588637,0.6426014319809069,0.701628664495114,0.6708190594830271,0.29792619002152404,0.7001440105504819,0.6826792839309908,"[[878, 599], [458, 1077]]",0.42811567842897214,-0.07061888890525173
svm,de,2,1.4401492050001252,cuml,True,0.6 * MCC + 0.4 * F1,"{""C"": 2.056043402245095, ""gamma"": 10.0, ""kernel"": ""linear""}",0.5092961487383798,0.4996870582371609,0.5094715852442672,0.9986970684039088,0.6747359154929577,-0.009918962233012283,0.30136490244553293,0.3913046818001898,"[[1, 1476], [2, 1533]]",0.44888607331771724,-0.06612668872766851
svm,de,3,1.909336634000283,cuml,True,0.6 * MCC + 0.4 * F1,"{""C"": 1000.0, ""gamma"": 0.00013051331649566763, ""kernel"": ""rbf""}",0.6344621513944223,0.632068922170347,0.6149364406779662,0.7563517915309447,0.6783523225241017,0.27301777070688055,0.6954684092016787,0.6835868749558449,"[[750, 727], [374, 1161]]",0.4351915092327926,-0.07527186602818234
