model_type,optimizer,seed,runtime_seconds_test,model_backend,official_experiment,fitness_formula,decoded_hyperparameters,accuracy_test,balanced_accuracy_test,precision_test,recall_test,f1_test,mcc_test,auc_roc_test,auc_pr_test,confusion_matrix_test,best_validation_fitness
svm,ga,1,23.04559762399731,scikit-learn,True,0.6 * MCC + 0.4 * F1,"{""C"": 2.0887100018566547, ""gamma"": 5.044082462406216, ""kernel"": ""linear""}",0.6420982735723771,0.6408015190576902,0.6330809551543389,0.70814332247557,0.6685116851168512,0.28435557132289707,0.6968090525958287,0.6765712583211019,"[[847, 630], [448, 1087]]",0.4289440598729244
svm,ga,2,22.476559795999492,scikit-learn,True,0.6 * MCC + 0.4 * F1,"{""C"": 0.8497434918806178, ""gamma"": 0.0001826319673859233, ""kernel"": ""linear""}",0.6454183266932271,0.6434832469196519,0.6285085305448541,0.7439739413680782,0.6813842482100239,0.29323392450542624,0.7006920445749043,0.6828511598990934,"[[802, 675], [393, 1142]]",0.42797023583307786
svm,ga,3,18.344158482002968,scikit-learn,True,0.6 * MCC + 0.4 * F1,"{""C"": 0.5287006905895003, ""gamma"": 0.007486999236584675, ""kernel"": ""linear""}",0.6447543160690571,0.6428061988492388,0.6278174821330401,0.7439739413680782,0.6809779367918902,0.2919341636223406,0.7003266150463459,0.6825566459615336,"[[800, 677], [393, 1142]]",0.42755416953722136
svm,ga,4,18.61069585599762,scikit-learn,True,0.6 * MCC + 0.4 * F1,"{""C"": 22.560741491634314, ""gamma"": 0.011694059975677693, ""kernel"": ""rbf""}",0.6367861885790173,0.6344257992806088,0.6171003717472119,0.7570032573289902,0.6799297834991223,0.27764185007748604,0.6958488352347283,0.6759506680976587,"[[756, 721], [373, 1162]]",0.42067016515163946
svm,ga,5,24.733810322002682,scikit-learn,True,0.6 * MCC + 0.4 * F1,"{""C"": 2.9267490368101825, ""gamma"": 2.3164145156627638e-05, ""kernel"": ""linear""}",0.6424302788844621,0.6410505051396109,0.6323699421965318,0.7127035830618893,0.6701378254211332,0.2852213393288127,0.6964248774366563,0.675223149556523,"[[841, 636], [441, 1094]]",0.4351583012239061
