model_type,optimizer,seed,runtime_seconds_test,model_backend,official_experiment,fitness_formula,decoded_hyperparameters,accuracy_test,balanced_accuracy_test,precision_test,recall_test,f1_test,mcc_test,auc_roc_test,auc_pr_test,confusion_matrix_test,best_validation_fitness,worst_validation_fitness
mlp,pso,1,0.11314430100003392,cuda,True,0.6 * MCC + 0.4 * F1,"{""hidden_neurons"": 221, ""learning_rate"": 0.0004260097327089211, ""l2_alpha"": 2.7241052382573237e-05, ""dropout_rate"": 0.014570661758998894, ""batch_size"": 64}",0.648074369189907,0.6478031223604498,0.6525369299935774,0.6618892508143323,0.6571798188874515,0.2957210495998808,0.6921720451924074,0.6719833705830862,"[[936, 541], [519, 1016]]",0.4275997414089792,-0.028608093061362493
mlp,pso,2,0.1092392049999944,cuda,True,0.6 * MCC + 0.4 * F1,"{""hidden_neurons"": 108, ""learning_rate"": 0.0007366692779274468, ""l2_alpha"": 2.536538023644349e-07, ""dropout_rate"": 0.1, ""batch_size"": 64}",0.647742363877822,0.6474901805976108,0.6525096525096525,0.6605863192182411,0.6565231466494011,0.2950755813329381,0.692770582151072,0.6748452662888256,"[[937, 540], [521, 1014]]",0.42670580614824455,0.028094587687086947
mlp,pso,3,0.12044093400004385,cuda,True,0.6 * MCC + 0.4 * F1,"{""hidden_neurons"": 401, ""learning_rate"": 0.00041468437733971667, ""l2_alpha"": 1.4268777386752663e-08, ""dropout_rate"": 0.037159451938980737, ""batch_size"": 64}",0.6530544488711819,0.6528426094799962,0.6582687338501292,0.6638436482084691,0.661044437236458,0.3057474618714613,0.6943088265455772,0.6733746438976732,"[[948, 529], [516, 1019]]",0.428973791330185,0.21392446023568792
mlp,pso,4,0.11718615399990995,cuda,True,0.6 * MCC + 0.4 * F1,"{""hidden_neurons"": 393, ""learning_rate"": 0.000482005403123762, ""l2_alpha"": 1.4705610594217756e-07, ""dropout_rate"": 0.044258332578916225, ""batch_size"": 64}",0.651394422310757,0.651226736121066,0.6573653471771577,0.6599348534201954,0.6586475942782835,0.30247908911427285,0.6942572209271809,0.6742182021696677,"[[949, 528], [522, 1013]]",0.42814009714571133,0.25012453631707143
mlp,pso,5,0.11782341999992241,cuda,True,0.6 * MCC + 0.4 * F1,"{""hidden_neurons"": 397, ""learning_rate"": 0.0004579957513639233, ""l2_alpha"": 2.0370767428025331e-07, ""dropout_rate"": 0.016049850749728468, ""batch_size"": 64}",0.651394422310757,0.6512395272572495,0.6575698505523067,0.6592833876221499,0.6584255042290176,0.30249559939931786,0.6940307296019972,0.6733196244469543,"[[950, 527], [523, 1012]]",0.4291341285799918,0.03772702774454759
