model_type,optimizer,seed,runtime_seconds_test,model_backend,official_experiment,fitness_formula,decoded_hyperparameters,accuracy_test,balanced_accuracy_test,precision_test,recall_test,f1_test,mcc_test,auc_roc_test,auc_pr_test,confusion_matrix_test,best_validation_fitness
svm,random_search,1,11.352006808003352,scikit-learn,True,0.6 * MCC + 0.4 * F1,"{""C"": 157.56109091846264, ""gamma"": 0.0009515449484363552, ""kernel"": ""linear""}",0.4548472775564409,0.44791691936511857,0.4793196752995748,0.8078175895765473,0.6016496846191169,-0.14958168392785218,0.32816056845573494,0.40084445095023,"[[130, 1347], [295, 1240]]",0.44891191105134454
svm,random_search,2,23.61474905599971,scikit-learn,True,0.6 * MCC + 0.4 * F1,"{""C"": 2.29911828039002, ""gamma"": 0.0010840730450480708, ""kernel"": ""linear""}",0.6301460823373174,0.6265041163199461,0.601056168987038,0.8156351791530945,0.6920950801547816,0.27385873548492495,0.7002750094279495,0.678693201046935,"[[646, 831], [283, 1252]]",0.43590753861621456
svm,random_search,3,9.88758993599913,scikit-learn,True,0.6 * MCC + 0.4 * F1,"{""C"": 740.0070079183599, ""gamma"": 1.8053565691165043, ""kernel"": ""linear""}",0.5833333333333334,0.5872399595094379,0.6555555555555556,0.38436482084690554,0.48459958932238195,0.19055558274824427,0.3510461164566788,0.4154490756521766,"[[1167, 310], [945, 590]]",0.439305643650698
svm,random_search,4,24.123797582997213,scikit-learn,True,0.6 * MCC + 0.4 * F1,"{""C"": 2.876049632038495, ""gamma"": 0.004639567497980658, ""kernel"": ""linear""}",0.6344621513944223,0.631224707182223,0.6074257425742574,0.7993485342019544,0.6902953586497891,0.2791634293803765,0.6977216340014863,0.6881525994636599,"[[684, 793], [308, 1227]]",0.4346714739413793
svm,random_search,5,22.778594565003004,scikit-learn,True,0.6 * MCC + 0.4 * F1,"{""C"": 4.187786638939779, ""gamma"": 0.00035862305797848895, ""kernel"": ""linear""}",0.6563745019920318,0.6563173877853471,0.6640419947506562,0.6592833876221499,0.6616541353383458,0.3125991358174161,0.7043791998482707,0.6865126102989367,"[[965, 512], [523, 1012]]",0.4395124107373315
