model_type,optimizer,seed,runtime_seconds_test,model_backend,official_experiment,fitness_formula,decoded_hyperparameters,accuracy_test,balanced_accuracy_test,precision_test,recall_test,f1_test,mcc_test,auc_roc_test,auc_pr_test,confusion_matrix_test,best_validation_fitness,worst_validation_fitness
cnn,de,1,0.33738928899947496,cuda,True,0.6 * MCC + 0.4 * F1,"{""n_filters"": 114, ""kernel_size"": 5, ""dense_neurons"": 205, ""learning_rate"": 1.8974118912948054e-06, ""l2_alpha"": 6.055406653739473e-05, ""dropout_rate"": 0.011109252463216798, ""batch_size"": 64}",0.6354581673306773,0.6351950317462768,0.6405144694533762,0.6488599348534202,0.6446601941747573,0.27048313583543165,0.6725449288658453,0.6479345852762133,"[[918, 559], [539, 996]]",0.40508260214222863,-0.0408664718041935
cnn,de,2,0.801283599999806,cuda,True,0.6 * MCC + 0.4 * F1,"{""n_filters"": 100, ""kernel_size"": 4, ""dense_neurons"": 169, ""learning_rate"": 5.374036950004956e-07, ""l2_alpha"": 1.4990515042731075e-05, ""dropout_rate"": 0.00039604665740276563, ""batch_size"": 16}",0.6364541832669323,0.6370420277038367,0.6547116736990155,0.606514657980456,0.6296922556645248,0.2744604991197602,0.6724728133221889,0.6485756046412492,"[[986, 491], [604, 931]]",0.4060880972848101,-0.011583727609189657
cnn,de,3,0.21619584300060524,cuda,True,0.6 * MCC + 0.4 * F1,"{""n_filters"": 34, ""kernel_size"": 5, ""dense_neurons"": 102, ""learning_rate"": 1.2222089704669597e-05, ""l2_alpha"": 9.81091509582248e-08, ""dropout_rate"": 0.09984131081858637, ""batch_size"": 128}",0.6284860557768924,0.6283930142753491,0.6361256544502618,0.6332247557003258,0.6346718903036239,0.25676581375062374,0.6706028815342306,0.6493050487468524,"[[921, 556], [563, 972]]",0.4064803774307528,-0.017135524171046537
