model_type,optimizer,seed,runtime_seconds_test,model_backend,official_experiment,fitness_formula,decoded_hyperparameters,accuracy_test,balanced_accuracy_test,precision_test,recall_test,f1_test,mcc_test,auc_roc_test,auc_pr_test,confusion_matrix_test,best_validation_fitness
rf,ga,1,1.1764107250000961,scikit-learn,True,0.6 * MCC + 0.4 * F1,"{""n_estimators"": 58, ""max_depth"": 6, ""min_samples_split"": 13, ""min_samples_leaf"": 15, ""max_features"": null, ""class_weight"": null}",0.6434262948207171,0.6421811974708835,0.6348741954359275,0.7068403908794788,0.6689272503082614,0.28692828440127055,0.6872615721188517,0.6632782457640108,"[[853, 624], [450, 1085]]",0.4197825061213807
rf,ga,2,4.02370385300128,scikit-learn,True,0.6 * MCC + 0.4 * F1,"{""n_estimators"": 426, ""max_depth"": 9, ""min_samples_split"": 2, ""min_samples_leaf"": 3, ""max_features"": ""log2"", ""class_weight"": null}",0.649734395750332,0.6487666477740115,0.6440576230492197,0.6990228013029316,0.6704154951577632,0.2991713365895099,0.6849649015633855,0.6607399654090655,"[[884, 593], [462, 1073]]",0.4170517364704259
rf,ga,3,3.5642627980014367,scikit-learn,True,0.6 * MCC + 0.4 * F1,"{""n_estimators"": 415, ""max_depth"": 8, ""min_samples_split"": 5, ""min_samples_leaf"": 5, ""max_features"": ""log2"", ""class_weight"": null}",0.646414342629482,0.6453430340133954,0.6397146254458977,0.7009771986970684,0.6689462231893069,0.2926374062177388,0.6860080407728493,0.6603203695905394,"[[871, 606], [459, 1076]]",0.4157401268488981
rf,ga,4,1.6239784189983766,scikit-learn,True,0.6 * MCC + 0.4 * F1,"{""n_estimators"": 149, ""max_depth"": 30, ""min_samples_split"": 8, ""min_samples_leaf"": 19, ""max_features"": ""sqrt"", ""class_weight"": null}",0.6381142098273572,0.6372508760825601,0.6349302607640994,0.6820846905537459,0.6576633165829145,0.2756965317607341,0.678865734972069,0.656736536612511,"[[875, 602], [488, 1047]]",0.4148399455001043
rf,ga,5,1.9373914820007485,scikit-learn,True,0.6 * MCC + 0.4 * F1,"{""n_estimators"": 150, ""max_depth"": 43, ""min_samples_split"": 20, ""min_samples_leaf"": 8, ""max_features"": ""sqrt"", ""class_weight"": null}",0.6314741035856574,0.6307362181021041,0.6304481276856968,0.6690553745928339,0.6491782553729456,0.26230025855830497,0.6690710327078174,0.6494928224716262,"[[875, 602], [508, 1027]]",0.4124211915239371
