experiment,experiment_label,model,optimizer,n,total_profit_mean,total_profit_std,win_rate_mean,profit_factor_mean,max_drawdown_mean,sharpe_mean,total_trades_mean
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,3,5230.0,2143.3443493755267,0.493767147893629,1.55878618292067,-1996.6666666666667,3.90498471766621,441.6666666666667
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,random_search,3,4168.333333333333,2555.6424502135137,0.4874015093116217,1.35137230679368,-2591.6666666666665,3.043345414142897,457.3333333333333
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,cnn,gwo,3,3205.0,48.218253804964775,0.43974358974358974,1.2093506335842832,-2660.0,2.402374924426775,520.0
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,cnn,random_search,3,2448.3333333333335,1049.337092327024,0.4336055222418859,1.1712314644485964,-2408.3333333333335,1.8332239292481134,507.3333333333333
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,svm,gwo,3,2368.3333333333335,4324.92003779646,0.44358974358974357,1.1889023227764266,-2473.3333333333335,1.744660237187541,520.0
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,3,2236.6666666666665,1204.204440007316,0.5569505654236635,7.5431324463888485,-1820.0,3.237354359064211,354.3333333333333
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,cnn,pso,3,2201.6666666666665,296.40906418888966,0.4263505103310929,1.139846559370173,-2781.6666666666665,1.7262868900872592,518.3333333333334
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,cnn,pso,3,2176.6666666666665,345.8443773336981,0.43553003442783006,1.1411220958419026,-2541.6666666666665,1.6185403819812991,513.0
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,cnn,random_search,3,2126.6666666666665,49.32882862316241,0.4282051282051282,1.133926365630453,-2796.6666666666665,1.6981768272708908,520.0
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,cnn,gwo,3,2091.6666666666665,293.9954648176284,0.4279645861669437,1.1332713924891762,-2733.3333333333335,1.5709548550517611,516.3333333333334
