experiment,experiment_label,model,optimizer,seed,total_trades,total_profit_points,mean_trade_points,win_rate,profit_factor,max_drawdown_points,sharpe_ratio_annualized
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,mlp,random_search,3,512,1425.0,2.783203125,0.412109375,1.0907932462567698,-2615.0,1.0446376051335247
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,rf,de,1,520,-85.0,-0.16346153846153846,0.3923076923076923,0.99504662004662,-3310.0,-0.07564275599650815
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,rf,de,2,520,-590.0,-1.1346153846153846,0.3903846153846154,0.965597667638484,-3420.0,-0.5219439217975695
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,rf,de,3,520,-275.0,-0.5288461538461539,0.38846153846153847,0.9839322231960269,-3080.0,-0.2407662342051904
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,rf,ga,1,520,-810.0,-1.5576923076923077,0.37884615384615383,0.9530026109660574,-3225.0,-0.7716712959614631
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,rf,ga,2,520,-870.0,-1.6730769230769231,0.37884615384615383,0.9502999143101971,-3360.0,-0.750498885376404
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,rf,ga,3,520,-185.0,-0.3557692307692308,0.3903846153846154,0.9892347977887693,-3165.0,-0.15942363180294153
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,rf,gwo,1,520,-375.0,-0.7211538461538461,0.38653846153846155,0.9783612233121755,-2950.0,-0.3398029001939946
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,rf,gwo,2,520,-850.0,-1.6346153846153846,0.38076923076923075,0.9513312338963642,-3240.0,-0.7372980746362184
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,rf,gwo,3,520,-490.0,-0.9423076923076923,0.38461538461538464,0.9717171717171718,-3350.0,-0.43323055445403863
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,rf,pso,1,520,-80.0,-0.15384615384615385,0.3903846153846154,0.995325737657026,-3255.0,-0.07193729902819054
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,rf,pso,2,520,70.0,0.1346153846153846,0.3942307692307692,1.004092370651856,-3310.0,0.06166922070994351
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,rf,pso,3,520,-590.0,-1.1346153846153846,0.38461538461538464,0.9659648110758581,-3155.0,-0.5074625183874725
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,rf,random_search,1,520,-170.0,-0.3269230769230769,0.3923076923076923,0.9900787861103005,-2900.0,-0.15193313714321388
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,rf,random_search,2,520,-310.0,-0.5961538461538461,0.3903846153846154,0.9820861022825773,-3165.0,-0.27165188081185676
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,rf,random_search,3,520,275.0,0.5288461538461539,0.4,1.0164670658682635,-3045.0,0.24096798140618286
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,svm,de,1,520,-2330.0,-4.480769230769231,0.3576923076923077,0.8696138780078344,-3750.0,-1.9915313465543636
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,svm,de,2,10,-2655.0,-265.5,0.0,0.0,-2435.0,-12.929414787702578
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,svm,de,3,520,-2445.0,-4.701923076923077,0.36346153846153845,0.8631402183039463,-3715.0,-2.2731870339241453
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,svm,ga,1,520,-2020.0,-3.8846153846153846,0.36538461538461536,0.8845714285714286,-3385.0,-1.7271381302581865
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,svm,ga,2,520,-2715.0,-5.221153846153846,0.3557692307692308,0.8490408673894912,-3775.0,-2.380168405318503
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,svm,ga,3,520,-2695.0,-5.1826923076923075,0.35384615384615387,0.8495674016187552,-3750.0,-2.3767736000635584
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,svm,gwo,1,520,1275.0,2.451923076923077,0.43846153846153846,1.0809010152284264,-2775.0,1.0243463173621363
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,svm,gwo,2,520,7135.0,13.721153846153847,0.5115384615384615,1.5615899252262888,-1595.0,5.345724362556175
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,svm,gwo,3,520,-1305.0,-2.5096153846153846,0.38076923076923075,0.9242160278745645,-3050.0,-1.1360899683556882
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,svm,pso,1,472,-7695.0,-16.302966101694917,0.4046610169491525,0.5714285714285714,-7995.0,-6.020965130922467
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,svm,pso,2,518,-3420.0,-6.602316602316602,0.35135135135135137,0.8107883817427386,-3855.0,-2.9915422261830567
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,svm,pso,3,436,4490.0,10.29816513761468,0.481651376146789,1.357341822522881,-1520.0,4.604715916910034
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,svm,random_search,1,229,-9255.0,-40.414847161572055,0.2663755458515284,0.23670103092783504,-9285.0,-7.9326217171950715
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,svm,random_search,2,520,-2010.0,-3.8653846153846154,0.36923076923076925,0.8836132020845396,-4220.0,-1.6036010038105686
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,svm,random_search,3,520,4615.0,8.875,0.47692307692307695,1.320486111111111,-1945.0,3.491622314739609
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,cnn,de,1,511,1860.0,3.639921722113503,0.4246575342465753,1.1202715809893307,-2820.0,1.3760693208233508
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,cnn,de,2,520,2105.0,4.048076923076923,0.4269230769230769,1.1334812935954344,-2925.0,1.5996271851974744
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,cnn,de,3,514,2055.0,3.998054474708171,0.43190661478599224,1.1318575553416748,-2515.0,1.5183423987450695
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,cnn,ga,1,514,1300.0,2.529182879377432,0.4163424124513619,1.082200442617768,-2600.0,0.956070853800975
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,cnn,ga,2,513,1725.0,3.3625730994152048,0.4191033138401559,1.112085769980507,-2535.0,1.2785405223301205
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,cnn,ga,3,520,2070.0,3.980769230769231,0.4269230769230769,1.130188679245283,-2835.0,1.5506970474804016
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,cnn,gwo,1,520,3170.0,6.096153846153846,0.43846153846153846,1.2066492829204694,-2650.0,2.381661143590873
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,cnn,gwo,2,520,3260.0,6.269230769230769,0.4403846153846154,1.2139107611548556,-2650.0,2.4369237533089354
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,cnn,gwo,3,520,3185.0,6.125,0.4403846153846154,1.2074918566775243,-2680.0,2.3885398763805163
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,cnn,pso,1,520,2355.0,4.528846153846154,0.4269230769230769,1.1497615262321144,-2780.0,1.867814916109303
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,cnn,pso,2,520,2390.0,4.596153846153846,0.4307692307692308,1.1514575411913814,-2780.0,1.9029688179049167
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,cnn,pso,3,515,1860.0,3.6116504854368934,0.42135922330097086,1.118320610687023,-2785.0,1.4080769362475583
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,cnn,random_search,1,520,2160.0,4.153846153846154,0.4326923076923077,1.1358490566037736,-2800.0,1.7263355232711073
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,cnn,random_search,2,520,2150.0,4.134615384615385,0.4269230769230769,1.134543178973717,-2855.0,1.7256023334725763
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,cnn,random_search,3,520,2070.0,3.980769230769231,0.425,1.1313868613138687,-2735.0,1.6425926250689884
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,mlp,de,1,520,110.0,0.21153846153846154,0.39615384615384613,1.0064214827787508,-3370.0,0.10015841314541166
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,mlp,de,2,520,-95.0,-0.18269230769230768,0.3942307692307692,0.9945086705202312,-3370.0,-0.0886323265636869
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,mlp,de,3,520,185.0,0.3557692307692308,0.39615384615384613,1.0108663729809104,-3370.0,0.16369373995912478
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,mlp,ga,1,520,110.0,0.21153846153846154,0.3903846153846154,1.0064365125804564,-3460.0,0.09610486926404456
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,mlp,ga,2,520,-195.0,-0.375,0.3903846153846154,0.9885864793678666,-3110.0,-0.17983883385593824
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,mlp,ga,3,520,260.0,0.5,0.40384615384615385,1.0150202195262854,-2945.0,0.23403446444688114
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,mlp,gwo,1,520,-195.0,-0.375,0.3903846153846154,0.9886495925494762,-3300.0,-0.17341652089946716
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,mlp,gwo,2,520,-190.0,-0.36538461538461536,0.3903846153846154,0.988943846377655,-3300.0,-0.1693537543826328
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,mlp,gwo,3,520,-25.0,-0.04807692307692308,0.3923076923076923,0.998546934030805,-3370.0,-0.022716423629064602
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,mlp,pso,1,520,90.0,0.17307692307692307,0.3942307692307692,1.0052677787532924,-3370.0,0.0794967356583546
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,mlp,pso,2,520,-115.0,-0.22115384615384615,0.3923076923076923,0.9933003204194581,-3485.0,-0.10030384238197082
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,mlp,pso,3,520,0.0,0.0,0.3923076923076923,1.0,-3370.0,0.0
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,mlp,random_search,1,512,1405.0,2.744140625,0.41796875,1.0904991948470208,-2290.0,1.082097729980743
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,mlp,random_search,2,520,-330.0,-0.6346153846153846,0.3903846153846154,0.9808251016850669,-3140.0,-0.30072444963632866
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,mlp,random_search,3,520,-140.0,-0.2692307692307692,0.3923076923076923,0.9918462434478742,-3260.0,-0.12473469971883763
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,rf,de,1,520,490.0,0.9423076923076923,0.41923076923076924,1.030209617755857,-2955.0,0.4345263744759864
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,rf,de,2,520,555.0,1.0673076923076923,0.41923076923076924,1.0338931297709923,-2560.0,0.4507838531852115
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,rf,de,3,520,355.0,0.6826923076923077,0.4173076923076923,1.0218058968058967,-2600.0,0.2882667902717375
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,rf,ga,1,520,545.0,1.0480769230769231,0.4115384615384615,1.0336212214682294,-2585.0,0.4460582803539587
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,rf,ga,2,520,-865.0,-1.6634615384615385,0.4,0.9489675516224189,-3005.0,-0.7630971979967334
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,rf,ga,3,520,-905.0,-1.7403846153846154,0.40576923076923077,0.9466705951679434,-2820.0,-0.8250297432375704
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,rf,gwo,1,520,-1215.0,-2.3365384615384617,0.4096153846153846,0.929829627490615,-3565.0,-1.1333137146225876
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,rf,gwo,2,520,1535.0,2.951923076923077,0.4230769230769231,1.099513776337115,-2460.0,1.2576044893883764
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,rf,gwo,3,520,-580.0,-1.1153846153846154,0.4115384615384615,0.9650917845320494,-2575.0,-0.5254600902986216
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,rf,pso,1,520,-545.0,-1.0480769230769231,0.4096153846153846,0.9673750374139479,-2740.0,-0.46547548267926236
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,rf,pso,2,520,-1000.0,-1.9230769230769231,0.40576923076923077,0.9408459035788228,-2855.0,-0.9328058782404467
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,rf,pso,3,520,975.0,1.875,0.42115384615384616,1.061904761904762,-2515.0,0.7987117856217246
