model_type,optimizer,total_trades,total_profit_points,mean_trade_points,win_rate,profit_factor,max_drawdown_points,sharpe_ratio_annualized,n_seeds
cnn,de,127.0,1411.6666666666667,9.740991650021838,0.49516388263382655,1.181296033939977,-1370.0,20.404229925942797,3
mlp,gwo,304.8,4586.0,15.046644335042041,0.5150949657976507,1.3162309132865075,-2175.0,24.48302644365964,5
rf,gwo,302.4,5394.0,17.83219624025411,0.5244666031318863,1.380029885800236,-2283.0,31.109958640537563,5
svm,gwo,302.0,4525.0,14.997721927476919,0.5177713623769423,1.308607126734502,-2525.0,25.634780024168204,3
