model_type,optimizer,accuracy,balanced_accuracy,precision,recall,f1,mcc,auc_roc,auc_pr,n_seeds
cnn,de,0.5194931773879142,0.517842687918277,0.519753077972256,0.6589595375722543,0.5808737309533621,0.03730568380507424,0.5215594395229789,0.5310449013810246,3
mlp,gwo,0.5345029239766081,0.533112152409618,0.532576231780381,0.6520231213872832,0.5862770562770563,0.06819079003851972,0.5383589287546602,0.5292290778745559,5
rf,gwo,0.5421052631578948,0.5405308342169169,0.537760029495316,0.6751445086705202,0.5986647967846725,0.0841858093486669,0.5200054725177001,0.5033949184388103,5
svm,gwo,0.530214424951267,0.5285540012085143,0.5280014724204326,0.6705202312138727,0.5907424110825815,0.059674705015304565,0.5429307612500143,0.5298247438896024,3
