datetime,open,high,low,close,y_pred,y_proba,model,optimizer,experiment,seed
2024-05-20 15:25:00,128575,128595,128475,128550,0,0.4906001985073089,mlp,gwo,exp1_holdout_mcc_f1,1
2024-05-20 15:25:00,130610,130670,130610,130655,1,0.5086484551429749,mlp,gwo,exp1_holdout_mcc_f1,1
2024-05-20 15:30:00,128590,128595,128510,128565,1,0.5692290663719177,mlp,gwo,exp1_holdout_mcc_f1,1
2024-05-20 15:30:00,130650,130675,130590,130650,1,0.5803894996643066,mlp,gwo,exp1_holdout_mcc_f1,1
2024-05-20 15:35:00,128600,128610,128550,128560,1,0.5932399034500122,mlp,gwo,exp1_holdout_mcc_f1,1
2024-05-20 15:35:00,130695,130695,130640,130640,1,0.5954223871231079,mlp,gwo,exp1_holdout_mcc_f1,1
2024-05-20 15:40:00,128550,128570,128480,128515,1,0.5017143487930298,mlp,gwo,exp1_holdout_mcc_f1,1
2024-05-20 15:40:00,130590,130590,130570,130570,0,0.3573218882083893,mlp,gwo,exp1_holdout_mcc_f1,1
2024-05-20 15:45:00,130565,130565,130565,130565,0,0.4703083634376526,mlp,gwo,exp1_holdout_mcc_f1,1
2024-05-20 15:45:00,128540,128545,128465,128540,1,0.5089654326438904,mlp,gwo,exp1_holdout_mcc_f1,1
2024-05-20 15:50:00,128550,128550,128495,128515,0,0.4748389720916748,mlp,gwo,exp1_holdout_mcc_f1,1
2024-05-20 15:50:00,130585,130585,130570,130570,0,0.3074888288974762,mlp,gwo,exp1_holdout_mcc_f1,1
2024-05-20 15:55:00,130575,130600,130575,130600,0,0.4716848134994507,mlp,gwo,exp1_holdout_mcc_f1,1
2024-05-20 15:55:00,128535,128540,128480,128520,0,0.4747313857078552,mlp,gwo,exp1_holdout_mcc_f1,1
2024-05-20 16:00:00,130660,130660,130660,130660,1,0.595424234867096,mlp,gwo,exp1_holdout_mcc_f1,1
2024-05-20 16:00:00,128595,128595,128510,128575,1,0.574497640132904,mlp,gwo,exp1_holdout_mcc_f1,1
2024-05-20 16:05:00,130635,130675,130635,130635,1,0.6311973929405212,mlp,gwo,exp1_holdout_mcc_f1,1
2024-05-20 16:05:00,128605,128610,128555,128580,1,0.6182504892349243,mlp,gwo,exp1_holdout_mcc_f1,1
2024-05-20 16:10:00,130670,130670,130670,130670,1,0.5982162952423096,mlp,gwo,exp1_holdout_mcc_f1,1
2024-05-20 16:10:00,128605,128610,128550,128585,1,0.6093741059303284,mlp,gwo,exp1_holdout_mcc_f1,1
2024-05-20 16:15:00,130685,130685,130685,130685,1,0.6036231517791748,mlp,gwo,exp1_holdout_mcc_f1,1
2024-05-20 16:15:00,128610,128610,128565,128595,1,0.6203997731208801,mlp,gwo,exp1_holdout_mcc_f1,1
2024-05-20 16:20:00,128625,128625,128530,128540,0,0.4982349276542663,mlp,gwo,exp1_holdout_mcc_f1,1
2024-05-20 16:20:00,130690,130690,130585,130605,0,0.4940359592437744,mlp,gwo,exp1_holdout_mcc_f1,1
2024-05-20 16:25:00,128555,128555,128490,128520,0,0.4195162355899811,mlp,gwo,exp1_holdout_mcc_f1,1
