experiment,experiment_label,model,n,total_profit_mean,win_rate_mean,profit_factor_mean,max_drawdown_mean,sharpe_mean
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,15,19969.333333333332,0.47538733953076584,1.3741777914173674,-5991.333333333333,7.6661172289123
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,mlp,15,22110.0,0.4785524568393094,1.42924062800197,-5502.666666666667,10.621620011343776
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,rf,15,26465.333333333332,0.48074369189907046,1.476853890034314,-2126.0,12.498581914101946
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,svm,15,17016.666666666668,0.4703187250996016,1.3876936642070097,-9823.333333333334,8.519743141689277
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,cnn,15,26860.666666666668,0.4850597609561753,1.486430773914915,-2493.6666666666665,9.705424074966768
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,mlp,15,27737.333333333332,0.4866755201416556,1.5060796181769638,-2141.3333333333335,13.070784356107056
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,rf,15,21972.666666666668,0.4636786188579017,1.3786453539988288,-1865.6666666666667,11.954784498622207
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,svm,15,11440.0,0.45938468348826916,1.2075794129782669,-5241.333333333333,4.183095542806301
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,cnn,15,24678.666666666668,0.47985834440017705,1.4377483490037954,-2563.0,9.269387896821168
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,mlp,15,27864.666666666668,0.4867419212040726,1.5088431390053285,-2072.3333333333335,13.159158564369779
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,rf,15,22189.333333333332,0.46469676848162905,1.3831777017682398,-1974.3333333333333,12.124685472865227
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,svm,15,6752.0,0.450398406374502,1.1196420155504265,-6281.333333333333,3.5351552239833848
