model,n,accuracy_mean,mcc_mean,f1_mean,auc_roc_mean,reported_metric_mean
cnn,45,0.6274900398406374,0.25413864502428896,0.6273019740057172,0.6607344758611412,0.4978347985152747
mlp,45,0.6436402537996163,0.28696923254922196,0.651555036889248,0.6845855978177635,0.5203436994121662
rf,45,0.6185996753725838,0.23654502243262449,0.6384904199849808,0.6560523809278769,0.500101862430429
svm,45,0.5903202006787664,0.18342398520798947,0.6100540625935902,0.6158228118886995,0.4603270525072572
