scope,metric,best_model_by_mean,comparison,n_blocks,mean_difference,median_difference,wilcoxon_p_value,holm_p_value,significant_0_05
all_experiments_optimizer_seed_blocks,accuracy_test,mlp,mlp vs cnn,45,0.016150213958978886,0.014940239043824688,9.573286294423277e-08,2.8719858883269833e-07,True
all_experiments_optimizer_seed_blocks,accuracy_test,mlp,mlp vs rf,45,0.025040578427032584,0.04150066401062413,1.8359657025643735e-07,2.8719858883269833e-07,True
all_experiments_optimizer_seed_blocks,accuracy_test,mlp,mlp vs svm,45,0.0533200531208499,0.05876494023904377,1.3950841600674758e-07,2.8719858883269833e-07,True
all_experiments_optimizer_seed_blocks,mcc_test,mlp,mlp vs cnn,45,0.03283058752493302,0.029822327841224905,9.582095117366407e-10,2.874628535209922e-09,True
all_experiments_optimizer_seed_blocks,mcc_test,mlp,mlp vs rf,45,0.05042421011659746,0.08360190751434701,3.6620804166886955e-09,5.79962033953052e-09,True
all_experiments_optimizer_seed_blocks,mcc_test,mlp,mlp vs svm,45,0.10354524734123242,0.1175513756766087,2.89981016976526e-09,5.79962033953052e-09,True
all_experiments_optimizer_seed_blocks,f1_test,mlp,mlp vs cnn,45,0.024253062883530782,0.015477673428411998,1.4014744920132216e-09,4.204423476039665e-09,True
all_experiments_optimizer_seed_blocks,f1_test,mlp,mlp vs rf,45,0.013064616904267133,0.029147259776608703,9.746725822878943e-06,1.9493451645757887e-05,True
all_experiments_optimizer_seed_blocks,f1_test,mlp,mlp vs svm,45,0.041500974295657814,0.03300837786145017,1.040538325014495e-05,1.9493451645757887e-05,True
all_experiments_optimizer_seed_blocks,auc_roc_test,mlp,mlp vs cnn,45,0.02385112195662236,0.020033565705640743,8.417941899097059e-10,2.5253825697291177e-09,True
all_experiments_optimizer_seed_blocks,auc_roc_test,mlp,mlp vs rf,45,0.0285332168898867,0.050343486113898606,5.1572897064033896e-09,1.0314579412806779e-08,True
all_experiments_optimizer_seed_blocks,auc_roc_test,mlp,mlp vs svm,45,0.0687627859290641,0.07113790388563834,1.793997057575325e-07,1.793997057575325e-07,True
exp1_holdout_mcc_f1,mcc_test,rf,rf vs cnn,15,0.06494638873528139,0.024445220687845826,6.103515625e-05,0.00018310546875,True
exp1_holdout_mcc_f1,mcc_test,rf,rf vs mlp,15,0.028783121192902574,-0.007064931509122352,0.05535888671875,0.05535888671875,False
exp1_holdout_mcc_f1,mcc_test,rf,rf vs svm,15,0.0757210654490196,0.01229305067268821,0.01507568359375,0.0301513671875,True
exp1_holdout_mcc_f1,accuracy_test,rf,rf vs cnn,15,0.03147410358565736,0.012284196547144743,0.0006434854148379288,0.0019304562445137865,True
exp1_holdout_mcc_f1,accuracy_test,rf,rf vs mlp,15,0.014386896857016385,-0.0033200531208499307,0.04991933235668855,0.04991933235668855,True
exp1_holdout_mcc_f1,accuracy_test,rf,rf vs svm,15,0.04123505976095617,0.015936254980079667,0.003431483611306496,0.006862967222612992,True
exp1_holdout_mcc_f1,f1_test,rf,rf vs cnn,15,0.06757263869288649,0.02576349414080059,6.103515625e-05,0.00018310546875,True
exp1_holdout_mcc_f1,f1_test,rf,rf vs mlp,15,0.025904122351723183,0.007280088719401445,0.00030517578125,0.0006103515625,True
exp1_holdout_mcc_f1,f1_test,rf,rf vs svm,15,0.06283949253810767,0.0004155651914101721,0.207763671875,0.207763671875,False
exp2_holdout_accuracy,accuracy_test,mlp,mlp vs cnn,15,0.015471447543160677,0.015272244355909681,0.0006451158437926242,0.0019353475313778727,True
exp2_holdout_accuracy,accuracy_test,mlp,mlp vs rf,15,0.0462594068171757,0.046148738379814036,0.0006516660806139112,0.0019353475313778727,True
exp2_holdout_accuracy,accuracy_test,mlp,mlp vs svm,15,0.07224435590969451,0.07934926958831334,0.0006533107814151377,0.0019353475313778727,True
exp2_holdout_accuracy,mcc_test,mlp,mlp vs cnn,15,0.030474134306262016,0.029899455891464588,6.103515625e-05,0.00018310546875,True
exp2_holdout_accuracy,mcc_test,mlp,mlp vs rf,15,0.09309950546750051,0.09280189014474802,6.103515625e-05,0.00018310546875,True
exp2_holdout_accuracy,mcc_test,mlp,mlp vs svm,15,0.14180292292746385,0.15729084245026353,6.103515625e-05,0.00018310546875,True
exp2_holdout_accuracy,f1_test,mlp,mlp vs cnn,15,0.018437483092309512,0.01693811074918572,6.103515625e-05,0.00018310546875,True
