model,n,total_profit_mean,win_rate_mean,profit_factor_mean,max_drawdown_mean,sharpe_mean
cnn,45,23836.222222222223,0.4801018149623728,1.4327856381120259,-3682.6666666666665,8.880309733566744
mlp,45,25904.0,0.48398996606167927,1.4813877950614207,-3238.777777777778,12.28385431060687
rf,45,23542.444444444445,0.46970635974620034,1.4128923152671278,-1988.6666666666667,12.192683961863127
svm,45,11736.222222222223,0.4600339383207909,1.238305030911901,-7115.333333333333,5.412664636159653
