experiment,experiment_label,primary_metric,model,optimizer,seed,accuracy_test,balanced_accuracy_test,mcc_test,f1_test,auc_roc_test,auc_pr_test,reported_metric
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,mcc_test,cnn,de,1,0.6354581673306773,0.6351950317462768,0.2704831358354316,0.6446601941747573,0.6725449288658453,0.6479345852762133,0.2704831358354316
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,mcc_test,cnn,de,2,0.6364541832669323,0.6370420277038367,0.2744604991197602,0.6296922556645248,0.6724728133221889,0.6485756046412492,0.2744604991197602
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,mcc_test,cnn,de,3,0.6284860557768924,0.6283930142753491,0.2567658137506237,0.6346718903036239,0.6706028815342306,0.6493050487468524,0.2567658137506237
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,mcc_test,cnn,ga,1,0.6344621513944223,0.6343457444110454,0.2686817120547813,0.6410172807303554,0.6755678272049823,0.6493803024940229,0.2686817120547813
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,mcc_test,cnn,ga,2,0.6354581673306773,0.636371816275177,0.2737953323429853,0.6221610461114935,0.6659140479755823,0.6398858481922363,0.2737953323429853
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,mcc_test,cnn,ga,3,0.6314741035856574,0.6309920408257781,0.2623342184668913,0.6446862996158771,0.6725989603893798,0.648639093334568,0.2623342184668913
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,mcc_test,cnn,gwo,1,0.6397742363877822,0.6404656414644527,0.2815004602384493,0.6310778646718803,0.6797207562649,0.6546316253448361,0.2815004602384493
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,mcc_test,cnn,gwo,2,0.4634794156706507,0.4563731836035277,-0.1289427283492196,0.6106024096385542,0.3373607034242754,0.4049805976890451,-0.1289427283492196
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,mcc_test,cnn,gwo,3,0.6318061088977424,0.6310619510011269,0.2629682027015013,0.6496050552922591,0.6725919032107956,0.6462162760765473,0.2629682027015013
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,mcc_test,cnn,pso,1,0.6344621513944223,0.6343969089557802,0.2687631759417553,0.6400784570120954,0.6721384794867666,0.6454638650684742,0.2687631759417553
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,mcc_test,cnn,pso,2,0.6354581673306773,0.6345554749370919,0.270387670288489,0.6557993730407523,0.6712166355342173,0.6459433209088039,0.270387670288489
