date,daily_return_points,experiment,experiment_label,model,optimizer,seed
2024-06-25,-130.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,2
2024-06-26,-775.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,2
2024-06-27,2215.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,2
2024-06-28,980.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,2
2024-05-20,-430.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,3
2024-05-21,40.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,3
2024-05-22,485.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,3
2024-05-23,-490.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,3
2024-05-24,2585.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,3
2024-05-27,355.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,3
2024-05-28,4260.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,3
2024-05-29,-10.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,3
2024-05-31,-1440.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,3
2024-06-03,1455.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,3
2024-06-04,1155.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,3
2024-06-05,610.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,3
2024-06-06,150.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,3
2024-06-07,165.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,3
2024-06-10,-85.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,3
2024-06-12,6515.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,3
