experiment,experiment_label,model,optimizer,n,reported_metric_mean,reported_metric_std,accuracy_mean,accuracy_std,mcc_mean,mcc_std,f1_mean,f1_std,auc_roc_mean,auc_pr_mean
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,3,0.2672364829019385,0.00928337433431957,0.6334661354581673,0.0043415328122915035,0.2672364829019385,0.00928337433431957,0.6363414467143019,0.007622359199608272,0.6718735412407549,0.6486050795547716
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,3,0.268270420954886,0.005741615895968539,0.6337981407702523,0.0020733725094284174,0.268270420954886,0.005741615895968539,0.6359548754859087,0.012085847984458414,0.6713602785233149,0.6459684146736091
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,3,0.138508644863577,0.23180495878520785,0.5783532536520585,0.09956340569385126,0.138508644863577,0.23180495878520785,0.6304284432008979,0.019509431134257776,0.5632244542999904,0.5686094997034762
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,pso,3,0.2690676470299502,0.0011971863383200578,0.6346834882691456,0.0006911241698094835,0.2690676470299502,0.0011971863383200578,0.6517077821470737,0.010217625864865446,0.6705802397529399,0.6444389904562232
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,random_search,3,0.17871058366092885,0.15486998094812388,0.5863213811420983,0.08314264198710358,0.17871058366092885,0.15486998094812388,0.4302005025525106,0.37257976238547,0.5840312956465294,0.5829246484068376
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,mlp,de,3,0.3022836069646482,0.00025641018757267754,0.6512837538733952,0.00019168335630464844,0.3022836069646482,0.00025641018757267754,0.6583468856113535,0.0020145467846484416,0.6940780715083322,0.673516388309464
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,mlp,ga,3,0.29047699422591383,0.0023374002683358543,0.6455289951305887,0.0011659643374117542,0.29047699422591383,0.0023374002683358543,0.6595084029081505,0.0011758942298466211,0.6905946187543051,0.6691121031862387
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,mlp,gwo,3,0.30466799293839375,0.0007974801730651731,0.6525011066843737,0.0003833667126092969,0.30466799293839375,0.0007974801730651731,0.6600995025421948,0.0001313707099820294,0.69429302140604,0.6737571187842724
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,mlp,pso,3,0.2988480309347601,0.005983792088520433,0.6496237273129704,0.002975725909638926,0.2988480309347601,0.005983792088520433,0.6582491342577702,0.0024429682077448654,0.6930838179630189,0.6734010935898617
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,mlp,random_search,3,0.10633349205945869,0.30608378549556237,0.5531208499335989,0.1529863762451105,0.10633349205945869,0.30608378549556237,0.5567717064870403,0.15115662191351356,0.5651651784106204,0.5701953005725037
