model_type,optimizer,activation,ok,fail,nonfinite,best_fitness,mean_fitness,std_fitness,median_fitness,mean_top10_fitness,mean_mcc,mean_f1,mean_auc_roc,mean_auc_pr,wins_by_seed,mean_train_time_seconds,wall_seconds,best_candidate,structure
mlp,adam,relu,300,0,0,0.4159237329528497,0.3105787238384195,0.1414660846270335,0.3959274994694908,0.4114372286937272,0.1417884393547711,0.5637641505638921,0.595834535167026,0.6048178502666226,0,0.1265318968566668,40.814054301,"{""hidden_neurons"": 19, ""learning_rate"": 0.00012918781097874407, ""l2_alpha"": 8.671213899302547e-08, ""dropout_rate"": 0.038565784465755086, ""batch_size"": 64}",ADAM + RELU
mlp,adam,tanh,300,0,0,0.4264151940938616,0.3235142479217832,0.1401423841187644,0.3959660862413721,0.4186501378350135,0.1462327962119171,0.5894364254865823,0.5990929416580199,0.6108360528734196,0,0.1204798751866662,38.996560054,"{""hidden_neurons"": 12, ""learning_rate"": 1.1194719789088649e-07, ""l2_alpha"": 1.415116843933938e-07, ""dropout_rate"": 0.05369720795717926, ""batch_size"": 16}",ADAM + TANH
mlp,rmsprop,relu,300,0,0,0.4228947485918888,0.3111660394394931,0.1418490793613542,0.3956289267418411,0.4156954402189187,0.1440390396026735,0.5618565391947227,0.5970625258958641,0.6061168084383283,0,0.1239985761766663,40.20309691199999,"{""hidden_neurons"": 331, ""learning_rate"": 0.004488968054177695, ""l2_alpha"": 5.1994331738933847e-08, ""dropout_rate"": 0.09440245720125377, ""batch_size"": 64}",RMSPROP + RELU
mlp,rmsprop,tanh,300,0,0,0.4286056136845705,0.3246206198885655,0.1400705827936573,0.3970959109360568,0.4218009946169865,0.1492240659820275,0.5877154507483724,0.6021158979357676,0.6137485394569029,3,0.1252826809166668,40.64232212600001,"{""hidden_neurons"": 207, ""learning_rate"": 7.670141458614699e-07, ""l2_alpha"": 7.555916552311495e-07, ""dropout_rate"": 0.057669971625295205, ""batch_size"": 32}",RMSPROP + TANH
cnn,adam,relu,300,0,0,0.4031218713040057,0.300509199833453,0.1447990356269207,0.3899455351077591,0.3990669934226636,0.1374935088503116,0.5450327363081651,0.5990479957338961,0.6052448921956204,0,0.2623858557799993,81.67489645,"{""n_filters"": 15, ""kernel_size"": 3, ""dense_neurons"": 250, ""learning_rate"": 0.006236899192551407, ""l2_alpha"": 0.00014053108936296668, ""dropout_rate"": 0.08330350777910259, ""batch_size"": 16}",ADAM + RELU
cnn,adam,tanh,300,0,0,0.4039120114065231,0.3188489256774454,0.1348086416016942,0.3911971830817943,0.4000559686241966,0.1538805212603765,0.5663015323030487,0.6075150623920637,0.613852420315325,0,0.2436513358666667,76.05736500800003,"{""n_filters"": 33, ""kernel_size"": 5, ""dense_neurons"": 242, ""learning_rate"": 3.079266678821317e-06, ""l2_alpha"": 0.00019007768124525598, ""dropout_rate"": 0.07381025959044417, ""batch_size"": 32}",ADAM + TANH
cnn,rmsprop,relu,300,0,0,0.4057417001437873,0.2992462537056218,0.1447068677817223,0.3899454482192779,0.4005890577758048,0.1382515058726142,0.5407383754551331,0.5989358105715328,0.6052611764551631,1,0.2572658764533349,80.14705894000002,"{""n_filters"": 85, ""kernel_size"": 5, ""dense_neurons"": 203, ""learning_rate"": 0.0029140793157278098, ""l2_alpha"": 9.837408412680453e-06, ""dropout_rate"": 0.060960406237851865, ""batch_size"": 112}",RMSPROP + RELU
cnn,rmsprop,tanh,300,0,0,0.4099781024185039,0.3188034345867712,0.1346542616280382,0.3912108370488399,0.4005674480506477,0.1557272971550423,0.5634176407343644,0.6081908507477487,0.6145624462960615,2,0.2344314952000021,73.38768616700003,"{""n_filters"": 33, ""kernel_size"": 5, ""dense_neurons"": 242, ""learning_rate"": 3.079266678821317e-06, ""l2_alpha"": 0.00019007768124525598, ""dropout_rate"": 0.07381025959044417, ""batch_size"": 32}",RMSPROP + TANH
