fitness_mode,seed,total_trades,total_profit_points,win_rate,profit_factor,max_drawdown_points,sharpe_ratio_annualized
MCC/F1,1,3012,28530.0,0.48771580345285526,1.5242557883131203,-2115.0,13.679690929656394
MCC/F1,2,3012,28490.0,0.48771580345285526,1.5233284349742837,-2115.0,13.647622627161493
MCC/F1,3,3012,27810.0,0.4860557768924303,1.5074817518248176,-2115.0,13.24606674711384
Accuracy-CV,1,3012,28060.0,0.48771580345285526,1.513308332571115,-2060.0,13.26571491612591
Accuracy-CV,2,3012,28450.0,0.48771580345285526,1.52240176276166,-2060.0,13.528225060885687
Accuracy-CV,3,3012,28710.0,0.48871181938911024,1.5285832642916322,-2060.0,13.720970547905525
Long-only baseline,baseline,3012,-47730.0,0.34960159362549803,0.4957743503063596,-47740.0,-6.4639204888057336
