fitness_mode,fitness_mode_label,accuracy_test_mean,accuracy_test_std,balanced_accuracy_test_mean,balanced_accuracy_test_std,mcc_test_mean,mcc_test_std,f1_test_mean,f1_test_std,auc_roc_test_mean,auc_roc_test_std,auc_pr_test_mean,auc_pr_test_std
accuracy_cv,Accuracy-CV,0.6197764497565293,0.028100693161194252,0.618962594748136,0.028641999318526325,0.2390143484055671,0.05648177232932606,0.639637278813096,0.018127723882033483,0.6577741732257996,0.03457307885497723,0.6421432963372856,0.02851649955364656
accuracy_holdout,Accuracy Holdout,0.6172366091190792,0.03134922693455434,0.6167052422339794,0.03161439282233878,0.23485081473178993,0.061442336111404976,0.6304936559747105,0.04071313846499055,0.6547973560574484,0.03610560646303,0.6393703058158844,0.03035810564404975
mcc_f1,MCC/F1,0.6230245683930943,0.05498423553723627,0.6225908556608496,0.055235604257141295,0.2469425007732366,0.11470141058960824,0.6254201853173457,0.10981092020375799,0.6503249205883628,0.10433668544609545,0.6365032060075962,0.07703824513033508
