fitness_mode,total_trades_mean,total_trades_std,total_profit_points_mean,total_profit_points_std,win_rate_mean,win_rate_std,profit_factor_mean,profit_factor_std,max_drawdown_points_mean,max_drawdown_points_std,sharpe_ratio_annualized_mean,sharpe_ratio_annualized_std
Accuracy-CV,3012.0,0.0,28406.666666666668,327.1594921950654,0.48804780876494025,0.0005750500689139694,1.5214311198748023,0.0076835861078647,-2060.0,0.0,13.504970174972373,0.22851699030027242
Long-only baseline,3012.0,,-47730.0,,0.34960159362549803,,0.4957743503063596,,-47740.0,,-6.4639204888057336,
MCC/F1,3012.0,0.0,28276.666666666668,404.63975747982767,0.48716246126604695,0.0009584167815232903,1.518355325037407,0.009428199290475583,-2115.0,0.0,13.524460101310575,0.2416283070170126
