fitness_mode,fitness_mode_label,model_type,optimizer,accuracy_test_mean,accuracy_test_std,balanced_accuracy_test_mean,balanced_accuracy_test_std,mcc_test_mean,mcc_test_std,f1_test_mean,f1_test_std,auc_roc_test_mean,auc_roc_test_std,auc_pr_test_mean,auc_pr_test_std
accuracy_cv,Accuracy-CV,cnn,de,0.6333554670208056,0.002210600304940039,0.6330169364934791,0.002180765226498211,0.2662076209416793,0.004391673271713813,0.6439483330982781,0.003060296330936613,0.6728505194009925,0.000441229186065406,0.6480541629835538,0.0014981268105275026
accuracy_cv,Accuracy-CV,cnn,ga,0.6364541832669323,0.003369485911385196,0.6357202769648546,0.00318169552207049,0.2725638355587263,0.00694009495536029,0.65371076993903,0.01057395018180063,0.6786443159939926,0.00222798264040175,0.6523148232884348,0.0034679216163299403
accuracy_cv,Accuracy-CV,cnn,gwo,0.6312527667109341,0.001256951825099667,0.6309752800266408,0.0013592549035614102,0.26206253510897853,0.0026170830722003695,0.6407905452898026,0.000900036168925542,0.6724359101591761,0.00030487741917769353,0.6480723048715057,0.0011541198826279873
accuracy_cv,Accuracy-CV,cnn,pso,0.6340194776449756,0.0025357324562615413,0.6338432144860352,0.0026028109032819797,0.2677168666922561,0.005167791360190945,0.6416741159046945,0.0016114506020522062,0.6726799709185433,0.0005493098041832676,0.6477148710562254,0.0007610472031232147
accuracy_cv,Accuracy-CV,cnn,random_search,0.6343514829570607,0.0008355283792907123,0.633857696404588,0.0007213104363912886,0.26813093214724043,0.0015900409688751165,0.6476600116472658,0.004040796752529507,0.6738228662877844,0.001012994596070135,0.6461756748351263,0.0015833542645313332
accuracy_cv,Accuracy-CV,mlp,de,0.6505090748118637,0.0018878621192155824,0.6503112142243316,0.0019831337974291533,0.30068794761853285,0.00387796333990993,0.6582952242956535,0.0015559218077844717,0.694101521924669,0.000878307884547679,0.6741719408829768,0.0005170121687101281
accuracy_cv,Accuracy-CV,mlp,ga,0.6489597166888004,0.0011659643374117542,0.6486461611521431,0.001306168926909139,0.29747572133783035,0.0024392916235874275,0.6587717880870775,0.0013121218553799351,0.6925988574721922,0.0007878926770934826,0.6727687158463801,0.002270058973556583
accuracy_cv,Accuracy-CV,mlp,gwo,0.6515050907481186,0.00106724776018071,0.651382214586747,0.001032062204002513,0.30276263957050914,0.0020862744423381136,0.6579753126751083,0.001712360275700277,0.6948838395756284,0.000526598098154608,0.676393405317912,0.0004688336968409248
accuracy_cv,Accuracy-CV,mlp,pso,0.6495130588756086,0.0035500254387661485,0.6493084332548957,0.0036753557197848046,0.298685050141207,0.007236094894071315,0.6574419372649284,0.0013112575056489317,0.6937381507398643,0.0010048275244809912,0.6739299481454633,0.0008547181175138799
accuracy_cv,Accuracy-CV,mlp,random_search,0.648406374501992,0.0011501001378279388,0.6480734270026766,0.0011581991624397489,0.2963422354115927,0.0022979866706883006,0.658565459641901,0.0019634436265239916,0.6929126078700775,0.00044300047339814434,0.6734390483936555,0.0010846250121847678
accuracy_cv,Accuracy-CV,rf,de,0.6050243470562195,0.0013417834941325975,0.6042276175332661,0.0012542969448455887,0.20921307854146617,0.0026841858690227977,0.6248994710376325,0.0029194106442687667,0.6443200371678072,0.0006584130806386896,0.6356465823808716,0.0007616940271009076
accuracy_cv,Accuracy-CV,rf,ga,0.6081230633023461,0.003550025438766129,0.6073786477710711,0.003466262970852602,0.21544261410041057,0.007104103115213936,0.6268955610541428,0.004972523639672504,0.6421766397097147,0.0053277158414028235,0.6325950297129976,0.0048922465004931906
accuracy_cv,Accuracy-CV,rf,gwo,0.6077910579902612,0.002259913441418993,0.6069164760860888,0.0022958509774661964,0.21476815170223895,0.004539205292605252,0.6289764113375828,0.0020606595149154435,0.6449195297860719,0.004118269379329571,0.6359114714256663,0.0029595274949744486
accuracy_cv,Accuracy-CV,rf,pso,0.603585657370518,0.00033200531208499307,0.6027862623197388,0.0004152708523087467,0.20632129332341057,0.0006774765700818248,0.6235779829760227,0.0012274649811056138,0.6399777404825493,0.0042023946970381225,0.6317154950571354,0.004902701564912185
accuracy_cv,Accuracy-CV,rf,random_search,0.6081230633023461,0.0008355283792906847,0.6072976372419076,0.0008342486033490602,0.2154272260361736,0.0016783644220332932,0.6283973729378052,0.000857674714895772,0.6425264111232897,0.0021868168623024676,0.6334889580901363,0.0025812024278657753
accuracy_cv,Accuracy-CV,svm,de,0.6103364320495794,0.052501297974325796,0.6086804031707315,0.05277853805687051,0.22048444829433697,0.10646069256054493,0.6453673323127364,0.04322664575454953,0.6516061329822387,0.07294743366059744,0.6422887502648209,0.06131059343205942
accuracy_cv,Accuracy-CV,svm,ga,0.6093404161133246,0.02216575808480642,0.607792742426949,0.022324420031594266,0.2184841235836187,0.04464012660722057,0.6423586120118748,0.017870653224773943,0.6457785942541334,0.029632647172507496,0.6329370756685401,0.029302964592479504
accuracy_cv,Accuracy-CV,svm,gwo,0.5637450199203187,0.00917080167127041,0.5616432052234884,0.008902023566634857,0.12653029104134658,0.019071152785598688,0.6103252087551181,0.014010556655326585,0.5900615077220971,0.006531288095171598,0.5859939808907041,0.002587982660078755
accuracy_cv,Accuracy-CV,svm,pso,0.5667330677290837,0.008057543890778026,0.5648050417660001,0.008218855541463942,0.1323188849789189,0.01629758737054977,0.6100332226851369,0.004993368815117991,0.5910684788913173,0.004735962787264129,0.5877162969388738,0.003032502889859389
accuracy_cv,Accuracy-CV,svm,random_search,0.5944001770694998,0.004792083907616427,0.5925890068270853,0.00477786528623724,0.18866147198086822,0.009792414983930544,0.6330809033101268,0.005369984966102657,0.6243798320538522,0.004521677651810254,0.6115373906947322,0.002356452398552254
mcc_f1,MCC/F1,cnn,de,0.6334661354581673,0.0043415328122915035,0.6335433579084876,0.004554928997401326,0.2672364829019385,0.00928337433431957,0.6363414467143019,0.007622359199608272,0.6718735412407549,0.0011010141825823472,0.6486050795547716,0.000685707013953021
mcc_f1,MCC/F1,cnn,ga,0.6337981407702523,0.0020733725094284174,0.6339032005040002,0.0027170535150666487,0.268270420954886,0.005741615895968539,0.6359548754859087,0.012085847984458414,0.6713602785233149,0.004944654985586718,0.6459684146736091,0.005280677892539448
mcc_f1,MCC/F1,cnn,gwo,0.5783532536520585,0.09956340569385126,0.5759669253563692,0.10367788890798514,0.138508644863577,0.23180495878520785,0.6304284432008979,0.019509431134257776,0.5632244542999904,0.19563622007747447,0.5686094997034762,0.14176924104566208
mcc_f1,MCC/F1,cnn,pso,0.6346834882691456,0.0006911241698094835,0.6339659799884879,0.0008872623730931408,0.2690676470299502,0.0011971863383200578,0.6517077821470737,0.010217625864865446,0.6705802397529399,0.0019557013706930112,0.6444389904562232,0.0022034355381277113
mcc_f1,MCC/F1,cnn,random_search,0.5863213811420983,0.08314264198710358,0.5892889672039678,0.07737675507421823,0.17871058366092885,0.15486998094812388,0.4302005025525106,0.37257976238547,0.5840312956465294,0.15829478386400847,0.5829246484068376,0.11724629985455583
mcc_f1,MCC/F1,mlp,de,0.6512837538733952,0.00019168335630464844,0.6511266859121808,0.0001056991257499878,0.3022836069646482,0.00025641018757267754,0.6583468856113535,0.0020145467846484416,0.6940780715083322,0.00019939960861990323,0.673516388309464,0.0005481308828779521
mcc_f1,MCC/F1,mlp,ga,0.6455289951305887,0.0011659643374117542,0.64497753097256,0.001172980533334865,0.29047699422591383,0.0023374002683358543,0.6595084029081505,0.0011758942298466211,0.6905946187543051,0.003505255716216485,0.6691121031862387,0.003444098081825954
mcc_f1,MCC/F1,mlp,gwo,0.6525011066843737,0.0003833667126092969,0.6523125124511419,0.00040940625795646334,0.30466799293839375,0.0007974801730651731,0.6600995025421948,0.0001313707099820294,0.69429302140604,0.0003264762568509456,0.6737571187842724,0.0008253452343362013
mcc_f1,MCC/F1,mlp,pso,0.6496237273129704,0.002975725909638926,0.6493786374793523,0.003003965654375265,0.2988480309347601,0.005983792088520433,0.6582491342577702,0.0024429682077448654,0.6930838179630189,0.0011022913150470078,0.6734010935898617,0.0014311311775288085
mcc_f1,MCC/F1,mlp,random_search,0.5531208499335989,0.1529863762451105,0.5531725325788033,0.15306662848798516,0.10633349205945869,0.30608378549556237,0.5567717064870403,0.15115662191351356,0.5651651784106204,0.19176254140263602,0.5701953005725037,0.13469978271073732
mcc_f1,MCC/F1,rf,de,0.6460823373173971,0.002875250344569847,0.6454223537601897,0.003249358383783526,0.2917295392155801,0.005558782701212186,0.6618303751714704,0.0034984535489858927,0.6866221623342206,0.0011997143661411896,0.6587382073867084,0.002304947930215455
mcc_f1,MCC/F1,rf,ga,0.6465250110668438,0.0031555062924708364,0.6454302930860968,0.003293592192890395,0.29291234240283975,0.0061261549237998205,0.6694296562184437,0.0008538142674273919,0.6860781714850289,0.0011499402800491728,0.6614461935878719,0.0016004144915623393
mcc_f1,MCC/F1,rf,gwo,0.6443116423196105,0.0018285426783818451,0.643224630729455,0.0017437639880808213,0.2884363804083878,0.003828721098520232,0.6672101794901687,0.0030987030243347083,0.6864413956452798,0.0008937990453571573,0.6591944023698594,0.0007971546184011819
mcc_f1,MCC/F1,rf,pso,0.6466356795042053,0.0007667334252186419,0.6460206701820237,0.0011650838943348136,0.29286543193480913,0.0013566495275802492,0.6615704316836277,0.0060211905944813375,0.6871146210772929,0.0005200260963220115,0.6598243110200549,0.0023795809425904324
mcc_f1,MCC/F1,rf,random_search,0.6404382470119522,0.007849661631830596,0.6394158861500664,0.007687213968448856,0.2805820291260706,0.015969899112852844,0.6624556010014145,0.010179157965727492,0.682189225011523,0.00885618302598525,0.6566679090221922,0.004166157329191529
mcc_f1,MCC/F1,svm,de,0.5976095617529881,0.07682964474671783,0.5932648051887905,0.08143311598901287,0.18700833283179744,0.1709981783363363,0.6746357658333623,0.0037676299549243525,0.5656591073992312,0.2288974342168864,0.5858569468956751,0.16848781505113392
mcc_f1,MCC/F1,svm,ga,0.6440903054448871,0.001756806979458558,0.6423636549421937,0.0013945608318221732,0.28984121981688793,0.004794955592914124,0.676957956706255,0.00731750641021964,0.6992759040723596,0.0021441552743523096,0.6806596880605763,0.0035437448999354423
mcc_f1,MCC/F1,svm,gwo,0.6126604692341745,0.03569378800989405,0.6135784526694881,0.033712769010520845,0.2315902875884465,0.06578055654374618,0.5918663088496402,0.0826845337158864,0.6590040409698621,0.040739113325508745,0.6381539004948811,0.041728738298409986
mcc_f1,MCC/F1,svm,pso,0.6073483842408145,0.061114534081002404,0.6115730377551704,0.05771612381897512,0.2545363441703519,0.08396351168541807,0.4720572981199025,0.21286106888396494,0.6960020348198249,0.012748556835076042,0.6806650148604008,0.012880322328934272
mcc_f1,MCC/F1,svm,random_search,0.5561088977423639,0.09076505472557211,0.5538869983981675,0.09384914352413148,0.10494421143510567,0.22432660870191967,0.5927814513654268,0.10403162427707265,0.4598272314467877,0.2085480460922241,0.4983289092164472,0.1563706561069122
