model_type,optimizer,seed,evaluation_id,best_fitness_so_far,mean_fitness_so_far
mlp,de,1,1,0.6558683625540274,0.6558683625540274
mlp,de,1,2,0.6558683625540274,0.6552077715555571
mlp,de,1,3,0.6558683625540274,0.6549876060012
mlp,de,1,4,0.6558683625540274,0.6254836974078919
mlp,de,1,5,0.6558683625540274,0.5887491761355247
mlp,de,1,6,0.6558683625540274,0.5992641445118256
mlp,de,1,7,0.6558683625540274,0.5636822281037936
mlp,de,1,8,0.6558683625540274,0.5364570421224689
mlp,de,1,9,0.6567907424731797,0.5498274532725479
mlp,de,1,10,0.6567907424731797,0.5602175361363821
mlp,de,1,11,0.6567907424731797,0.5686399998368078
mlp,de,1,12,0.6567907424731797,0.574982212909262
mlp,de,1,13,0.6567907424731797,0.5811304301646716
mlp,de,1,14,0.6567907424731797,0.5863022773244445
mlp,de,1,15,0.6567907424731797,0.5905611677479153
mlp,de,1,16,0.6567907424731797,0.5944828231154361
mlp,de,1,17,0.6567907424731797,0.5980668190096028
mlp,de,1,18,0.6567907424731797,0.6009405843212029
mlp,de,1,19,0.6567907424731797,0.6038206422777973
mlp,de,1,20,0.6567907424731797,0.6064532846071302
mlp,de,1,21,0.6567907424731797,0.6077570270717325
mlp,de,1,22,0.6567907424731797,0.609885221418672
mlp,de,1,23,0.6567907424731797,0.6081359629222342
mlp,de,1,24,0.6567907424731797,0.6099661436337979
mlp,de,1,25,0.6567907424731797,0.6117139631746005
mlp,de,1,26,0.6568719503598383,0.6134508088355711
mlp,de,1,27,0.6568719503598383,0.6149275298224074
mlp,de,1,28,0.6569088259667735,0.6164268618275633
mlp,de,1,29,0.6569088259667735,0.6177029362424151
mlp,de,1,30,0.6569088259667735,0.6189217363597269
mlp,de,1,31,0.6569088259667735,0.6200845172381507
mlp,de,1,32,0.6569088259667735,0.6205360224544125
mlp,de,1,33,0.6569088259667735,0.6202452041776156
mlp,de,1,34,0.6569088259667735,0.621292293102995
mlp,de,1,35,0.6569088259667735,0.6189428122425538
mlp,de,1,36,0.6569088259667735,0.6198885676114367
mlp,de,1,37,0.6569088259667735,0.6205715808937892
mlp,de,1,38,0.6569088259667735,0.6204348233416127
mlp,de,1,39,0.6569088259667735,0.6206445386967689
mlp,de,1,40,0.6569088259667735,0.6208026314206715
mlp,de,1,41,0.6569088259667735,0.6216681514555188
mlp,de,1,42,0.6590269750943066,0.6225576472564422
mlp,de,1,43,0.6590269750943066,0.6220169685314175
mlp,de,1,44,0.6595804116104111,0.6228706831468492
mlp,de,1,45,0.6595804116104111,0.6235978976251578
mlp,de,1,46,0.6595804116104111,0.6242989482776656
mlp,de,1,47,0.6595804116104111,0.6226083112265948
mlp,de,1,48,0.6595804116104111,0.6233118371382376
mlp,de,1,49,0.6595804116104111,0.6239905624749138
mlp,de,1,50,0.6595804116104111,0.6246703329618128
mlp,de,1,51,0.6595804116104111,0.6253092643335092
mlp,de,1,52,0.6595804116104111,0.6236811479990668
mlp,de,1,53,0.6595804116104111,0.6242578191514621
mlp,de,1,54,0.660082290664614,0.6249212352905944
mlp,de,1,55,0.660082290664614,0.6254788109681914
mlp,de,1,56,0.660082290664614,0.6259828688773504
mlp,de,1,57,0.660082290664614,0.6265637527988444
mlp,de,1,58,0.660082290664614,0.6270299393475751
mlp,de,1,59,0.660082290664614,0.6274750693020564
mlp,de,1,60,0.660082290664614,0.6279593608854276
mlp,de,1,61,0.660082290664614,0.6284541456153511
mlp,de,1,62,0.660082290664614,0.628932376736279
mlp,de,1,63,0.660082290664614,0.6293382593949826
mlp,de,1,64,0.660082290664614,0.6297316863612887
mlp,de,1,65,0.660082290664614,0.6301737540595667
mlp,de,1,66,0.660082290664614,0.6305776014863307
mlp,de,1,67,0.660082290664614,0.6309155305223253
mlp,de,1,68,0.660082290664614,0.6313168895818769
mlp,de,1,69,0.660082290664614,0.6316908908471782
mlp,de,1,70,0.660082290664614,0.6319917905371476
mlp,de,1,71,0.660082290664614,0.6322600987174288
mlp,de,1,72,0.660082290664614,0.6326227390561784
mlp,de,1,73,0.660082290664614,0.6329622007721643
mlp,de,1,74,0.660082290664614,0.6332114068372308
mlp,de,1,75,0.660082290664614,0.6334699085791464
mlp,de,1,76,0.660082290664614,0.6322605013225867
mlp,de,1,77,0.660082290664614,0.6326036125858955
mlp,de,1,78,0.660082290664614,0.6329173972148693
mlp,de,1,79,0.660082290664614,0.633206044814345
mlp,de,1,80,0.660082290664614,0.6335189366592255
mlp,de,1,81,0.660082290664614,0.6338235553007006
mlp,de,1,82,0.660082290664614,0.6341234441067606
mlp,de,1,83,0.660082290664614,0.6344218858259759
