model_type,optimizer,seed,runtime_seconds_test,model_backend,official_experiment,fitness_formula,decoded_hyperparameters,accuracy_test,balanced_accuracy_test,precision_test,recall_test,f1_test,mcc_test,auc_roc_test,auc_pr_test,confusion_matrix_test,best_validation_fitness,worst_validation_fitness
rf,random_search,1,25.399359700999867,scikit-learn,True,0.6 * MCC + 0.4 * F1,"{""n_estimators"": 191, ""max_depth"": 6, ""min_samples_split"": 10, ""min_samples_leaf"": 2, ""max_features"": null, ""class_weight"": null}",0.6460823373173971,0.6449533454334542,0.638675340035482,0.7035830618892508,0.6695598264104153,0.29206496492443,0.686071775916937,0.6580095186803128,"[[866, 611], [455, 1080]]",0.4170095992992885,0.37189830525501955
rf,random_search,2,4.392435114000364,scikit-learn,True,0.6 * MCC + 0.4 * F1,"{""n_estimators"": 147, ""max_depth"": 6, ""min_samples_split"": 5, ""min_samples_leaf"": 8, ""max_features"": null, ""class_weight"": ""balanced""}",0.648738379814077,0.6484162147499444,0.6523961661341853,0.6651465798045603,0.6587096774193548,0.2970054015313261,0.6868163082575606,0.6600240397912881,"[[933, 544], [514, 1021]]",0.41788327370300493,0.37724794976495707
