model_type,optimizer,seed,evaluation_id,best_fitness_so_far,mean_fitness_so_far
cnn,random_search,1,1,0.635485085706105,0.635485085706105
cnn,random_search,1,2,0.635485085706105,0.582948435747559
cnn,random_search,1,3,0.635485085706105,0.5562537509375939
cnn,random_search,1,4,0.6544146320420022,0.580793971213696
cnn,random_search,1,5,0.6544146320420022,0.5855716765020402
cnn,random_search,1,6,0.6544146320420022,0.5946114115112852
cnn,random_search,1,7,0.6544146320420022,0.6025411074161092
cnn,random_search,1,8,0.6544146320420022,0.6089311798972179
cnn,random_search,1,9,0.6544146320420022,0.6136789934160075
cnn,random_search,1,10,0.6544146320420022,0.6176041854903092
cnn,random_search,1,11,0.6544146320420022,0.6043346982876158
cnn,random_search,1,12,0.6544146320420022,0.6079692691035056
cnn,random_search,1,13,0.6544146320420022,0.6114210435201716
cnn,random_search,1,14,0.6544146320420022,0.6142236675690808
cnn,random_search,1,15,0.6544146320420022,0.6165901258661589
cnn,random_search,1,16,0.6544146320420022,0.6184887612008465
cnn,random_search,1,17,0.6544146320420022,0.6205712075140213
cnn,random_search,1,18,0.6544146320420022,0.6195470103489344
cnn,random_search,1,19,0.6544146320420022,0.6124460542975354
cnn,random_search,1,20,0.6544146320420022,0.6144858106582661
cnn,random_search,1,21,0.6544146320420022,0.6162321877272579
cnn,random_search,1,22,0.6544146320420022,0.6118183606921982
cnn,random_search,1,23,0.6544146320420022,0.6003826014513501
cnn,random_search,1,24,0.6544146320420022,0.6025739649272722
cnn,random_search,1,25,0.6544146320420022,0.6046071350302761
cnn,random_search,1,26,0.6544146320420022,0.5994930077699071
cnn,random_search,1,27,0.6544146320420022,0.6012781211773945
cnn,random_search,1,28,0.6544146320420022,0.6029918755629681
cnn,random_search,1,29,0.6544146320420022,0.5953047055923769
cnn,random_search,1,30,0.6544146320420022,0.597242311045149
cnn,random_search,1,31,0.6544146320420022,0.5911326191409845
cnn,random_search,1,32,0.6544146320420022,0.5929577326758667
cnn,random_search,1,33,0.6544146320420022,0.594773988750316
cnn,random_search,1,34,0.6544146320420022,0.5963972345467383
cnn,random_search,1,35,0.6544146320420022,0.5980196594473518
cnn,random_search,1,36,0.6544146320420022,0.5988350992876901
cnn,random_search,1,37,0.6544146320420022,0.5932020310423031
cnn,random_search,1,38,0.6544146320420022,0.5936095944720724
cnn,random_search,1,39,0.6544146320420022,0.5919274487733774
cnn,random_search,1,40,0.6544146320420022,0.5917487868735762
cnn,random_search,1,41,0.6544146320420022,0.593251295228169
cnn,random_search,1,42,0.6544146320420022,0.5943856533667775
cnn,random_search,1,43,0.6544146320420022,0.59576382135233
cnn,random_search,1,44,0.6544146320420022,0.5942312494039265
cnn,random_search,1,45,0.6544146320420022,0.5899962671177519
cnn,random_search,1,46,0.6544146320420022,0.5855430638116148
cnn,random_search,1,47,0.6544146320420022,0.5831803884319644
cnn,random_search,1,48,0.6544146320420022,0.5845406604064258
cnn,random_search,1,49,0.6544146320420022,0.5833941198621991
cnn,random_search,1,50,0.6544146320420022,0.5822974266942155
cnn,random_search,1,51,0.6544146320420022,0.5829630983901898
cnn,random_search,1,52,0.6544146320420022,0.5802111572284425
cnn,random_search,1,53,0.6544146320420022,0.5781626415498056
cnn,random_search,1,54,0.6544146320420022,0.5792128194443154
cnn,random_search,1,55,0.6544146320420022,0.5804955865285953
cnn,random_search,1,56,0.6544146320420022,0.5817836751963269
cnn,random_search,1,57,0.6544146320420022,0.5830342050271086
cnn,random_search,1,58,0.6544146320420022,0.5841091592138732
cnn,random_search,1,59,0.6544146320420022,0.581693940346725
cnn,random_search,1,60,0.6544146320420022,0.582884791833223
cnn,random_search,1,61,0.6544146320420022,0.5840196618418207
cnn,random_search,1,62,0.6544146320420022,0.5847807287286807
cnn,random_search,1,63,0.6544146320420022,0.5858568587251249
cnn,random_search,1,64,0.6544146320420022,0.5869197683062664
cnn,random_search,1,65,0.6544146320420022,0.5867279983576524
cnn,random_search,1,66,0.6544146320420022,0.5836726473124677
cnn,random_search,1,67,0.6544146320420022,0.5847055838402732
cnn,random_search,1,68,0.6544146320420022,0.5838769748682002
cnn,random_search,1,69,0.6544146320420022,0.5831245922060738
cnn,random_search,1,70,0.6544146320420022,0.5839994321686605
cnn,random_search,1,71,0.6544146320420022,0.5849185443546392
cnn,random_search,1,72,0.6544146320420022,0.5858777175494116
cnn,random_search,1,73,0.6544146320420022,0.5867347884492832
cnn,random_search,1,74,0.6544146320420022,0.5876293321621138
cnn,random_search,1,75,0.6544146320420022,0.5845429871234931
cnn,random_search,1,76,0.6544146320420022,0.5851599647180009
cnn,random_search,1,77,0.6544146320420022,0.5859790568756746
cnn,random_search,1,78,0.6544146320420022,0.5868404425090857
cnn,random_search,1,79,0.6544146320420022,0.5873015114054699
cnn,random_search,1,80,0.6544146320420022,0.5881045387458999
cnn,random_search,1,81,0.6544146320420022,0.5888389958408182
cnn,random_search,1,82,0.6544146320420022,0.5896209643386623
cnn,random_search,1,83,0.6544146320420022,0.5903754678276366
cnn,random_search,1,84,0.6544146320420022,0.591083540175652
cnn,random_search,1,85,0.6544146320420022,0.5915490557182899
cnn,random_search,1,86,0.6544146320420022,0.5922041025080761
cnn,random_search,1,87,0.6544146320420022,0.591923003314182
cnn,random_search,1,88,0.6544146320420022,0.5892178097871752
cnn,random_search,1,89,0.6544146320420022,0.5898910649302407
cnn,random_search,1,90,0.6544146320420022,0.5905454261620361
cnn,random_search,1,91,0.6544146320420022,0.5902707182389402
cnn,random_search,1,92,0.6544146320420022,0.5909032785389676
cnn,random_search,1,93,0.6544146320420022,0.5883590137841082
cnn,random_search,1,94,0.6544146320420022,0.589038256398186
cnn,random_search,1,95,0.6544146320420022,0.5897075496704467
cnn,random_search,1,96,0.6544146320420022,0.5874066115727391
cnn,random_search,1,97,0.6544146320420022,0.5862131395592128
cnn,random_search,1,98,0.6544146320420022,0.5860832833935499
cnn,random_search,1,99,0.6544146320420022,0.5867237747708712
cnn,random_search,1,100,0.6544146320420022,0.5872959629097267
