experiment,experiment_label,model,optimizer,seed,budget,best_fitness_at_budget,progress_to_final_at_budget,runtime_minutes_at_budget
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,cnn,pso,1,250,0.4067947387111192,0.9831019680017908,0.8284604687171242
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,cnn,pso,1,500,0.4067947387111192,0.9831019680017908,1.6250847813673315
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,cnn,pso,1,1000,0.4072631865270627,1.0,3.223338506900745
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,cnn,pso,2,50,0.407305932933505,0.9644821040460231,0.3750925094665945
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,cnn,pso,2,100,0.407305932933505,0.9644821040460231,0.7949509631163891
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,cnn,pso,2,250,0.407305932933505,0.9644821040460231,2.1358104043828763
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,cnn,pso,2,500,0.407305932933505,0.9644821040460231,4.46040793958282
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,cnn,pso,2,1000,0.4133384054954492,1.0,9.056836596582343
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,cnn,pso,3,50,0.4004523357636642,0.31444342973509515,0.1559134785332086
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,cnn,pso,3,100,0.4010618515548663,0.36687026959544683,0.3464203199333193
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,cnn,pso,3,250,0.4024400839064461,0.48541743084966726,0.9188754323000162
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,cnn,pso,3,500,0.4083790683270691,0.9962527359351139,1.86436138386692
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,cnn,pso,3,1000,0.4084226341156506,1.0,3.7513231608673165
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,cnn,random_search,1,50,0.400836621438275,0.833744100547705,0.23265269543335304
