experiment,experiment_label,optimizer,eval_to_95_median,time_to_95_median,auc_progress_mean,total_evaluations_median,total_runtime_median,best_fitness_mean
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,de,126.5,0.6045869410332366,0.9712503125317743,1000.0,4.269611595398661,0.42331616651982157
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,ga,174.5,1.3256536025836971,0.8680896056272428,1000.0,14.110269622812408,0.41909841256288494
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,gwo,280.0,1.4781863214334103,0.9420091957420236,1000.0,4.50935808183358,0.42611617007514246
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,pso,152.0,1.7704172516751138,0.946405619368828,1000.0,16.31610895533001,0.42617455064571774
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,random_search,560.0,14.80126567934138,0.8583285106707681,1000.0,44.21610227038314,0.42593970325324476
exp2_holdout_accuracy,Exp 2 - Holdout + Accuracy,de,49.0,0.38628175559964184,0.9716218804326916,1000.0,3.7655046898731293,0.6821572015688129
exp2_holdout_accuracy,Exp 2 - Holdout + Accuracy,ga,44.0,0.7453279228316811,0.9387444335445664,1000.0,6.950926286712091,0.6786335241741832
exp2_holdout_accuracy,Exp 2 - Holdout + Accuracy,gwo,96.0,0.6678971456831276,0.9507524224490786,1000.0,3.76732479575027,0.6860942004420272
exp2_holdout_accuracy,Exp 2 - Holdout + Accuracy,pso,50.0,0.2933179177000056,0.9756847088177226,1000.0,6.771347336884022,0.6860258958487416
exp2_holdout_accuracy,Exp 2 - Holdout + Accuracy,random_search,304.5,1.2287469896747096,0.9257912616020624,1000.0,4.233514432223728,0.6861454951993724
exp3_cv_accuracy,Exp 3 - CV + Accuracy,de,52.5,0.9302331180499701,0.9768394926539634,1000.0,7.677439195502545,0.6896003177972743
exp3_cv_accuracy,Exp 3 - CV + Accuracy,ga,139.5,2.004563558610486,0.8819474016323242,1000.0,10.365136828232487,0.6912851657436154
exp3_cv_accuracy,Exp 3 - CV + Accuracy,gwo,65.0,2.5482447074500967,0.9435666573302338,1000.0,7.6575664430838515,0.6974769911488985
exp3_cv_accuracy,Exp 3 - CV + Accuracy,pso,42.0,0.49795560227477903,0.9757325140578064,1000.0,11.035181032560104,0.6971703567759979
exp3_cv_accuracy,Exp 3 - CV + Accuracy,random_search,315.0,2.7486411467666283,0.9296066162807962,1000.0,8.008038380524582,0.6944821330958201
