model_type,optimizer,seed,runtime_seconds_test,model_backend,official_experiment,fitness_formula,decoded_hyperparameters,accuracy_test,balanced_accuracy_test,precision_test,recall_test,f1_test,mcc_test,auc_roc_test,auc_pr_test,confusion_matrix_test,best_validation_fitness,worst_validation_fitness
svm,ga,1,2.131682945000648,cuml,True,0.6 * MCC + 0.4 * F1,"{""C"": 18.74304941858679, ""gamma"": 1.3407028905798033, ""kernel"": ""rbf""}",0.6347941567065073,0.6334179459640656,0.6257952573742047,0.704885993485342,0.6629901960784313,0.2697601898500344,0.6794157538279681,0.6663856652670858,"[[830, 647], [453, 1082]]",0.66111731167081,0.42558664488756004
svm,ga,2,2.3358465359997354,cuml,True,0.6 * MCC + 0.4 * F1,"{""C"": 18.834394879347528, ""gamma"": 10.0, ""kernel"": ""rbf""}",0.5942895086321381,0.5925529122991184,0.5877734155916994,0.6827361563517915,0.6317058468957203,0.18828378021432546,0.6235286333994209,0.611790380581058,"[[742, 735], [487, 1048]]",0.6935700946280292,0.5283601737393179
svm,ga,3,2.4131646500027273,cuml,True,0.6 * MCC + 0.4 * F1,"{""C"": 9.665410397804365, ""gamma"": 10.0, ""kernel"": ""rbf""}",0.598937583001328,0.5974073690176629,0.5933752141633353,0.6768729641693811,0.632379793061473,0.19740840068649634,0.6343913955350113,0.6206351811574765,"[[765, 712], [496, 1039]]",0.6873059206410744,0.4680139196380407
