model_type,optimizer,seed,runtime_seconds_test,model_backend,official_experiment,fitness_formula,decoded_hyperparameters,accuracy_test,balanced_accuracy_test,precision_test,recall_test,f1_test,mcc_test,auc_roc_test,auc_pr_test,confusion_matrix_test,best_validation_fitness,worst_validation_fitness
svm,gwo,1,2.172559001999616,cuml,True,0.6 * MCC + 0.4 * F1,"{""C"": 42.57826236634201, ""gamma"": 10.0, ""kernel"": ""rbf""}",0.5564409030544488,0.5547670138651506,0.5561829474872954,0.6416938110749185,0.5958862673926195,0.11124956559698673,0.5834562091042015,0.5860584790412386,"[[691, 786], [550, 985]]",0.7004761872317035,0.40108786902031657
svm,gwo,2,2.13178692299698,cuml,True,0.6 * MCC + 0.4 * F1,"{""C"": 50.33628315373926, ""gamma"": 10.0, ""kernel"": ""rbf""}",0.5607569721115537,0.5584643138327317,0.556745182012848,0.6775244299674267,0.6112253893623274,0.12043808514027846,0.5902121343775018,0.5833743520133394,"[[649, 828], [495, 1040]]",0.701383585068197,0.3960937724736094
svm,gwo,3,2.16389295499539,cuml,True,0.6 * MCC + 0.4 * F1,"{""C"": 46.36203339458824, ""gamma"": 10.0, ""kernel"": ""rbf""}",0.5740371845949536,0.5716982879725829,0.5671641791044776,0.6931596091205212,0.6238639695104075,0.14790322238677467,0.5965161796845881,0.5885491116175342,"[[665, 812], [471, 1064]]",0.700844912505668,0.4368319584058196
