model_type,optimizer,seed,runtime_seconds_test,model_backend,official_experiment,fitness_formula,decoded_hyperparameters,accuracy_test,balanced_accuracy_test,precision_test,recall_test,f1_test,mcc_test,auc_roc_test,auc_pr_test,confusion_matrix_test,best_validation_fitness,worst_validation_fitness
cnn,de,1,0.2863312580011552,cuda,True,0.6 * MCC + 0.4 * F1,"{""n_filters"": 93, ""kernel_size"": 3, ""dense_neurons"": 194, ""learning_rate"": 1.5009218444976448e-05, ""l2_alpha"": 0.00010633995382351622, ""dropout_rate"": 0.07086179394000731, ""batch_size"": 32}",0.6314741035856574,0.6312222812770847,0.6368319381841597,0.644299674267101,0.6405440414507773,0.26252377645431313,0.6728640456599454,0.647830411757449,"[[913, 564], [546, 989]]",0.6546873940600375,0.34723144897152675
cnn,de,2,0.2322062610037392,cuda,True,0.6 * MCC + 0.4 * F1,"{""n_filters"": 11, ""kernel_size"": 5, ""dense_neurons"": 179, ""learning_rate"": 1.7583702375656955e-05, ""l2_alpha"": 1.773040432955558e-06, ""dropout_rate"": 0.07565476969025076, ""batch_size"": 64}",0.6357901726427623,0.6354440178281974,0.6396683673469388,0.6534201954397394,0.646471156944892,0.27106761566132487,0.673284829933023,0.6466804964457287,"[[912, 565], [532, 1003]]",0.6548131021208744,0.34667046383747474
cnn,de,3,0.09486216700315708,cuda,True,0.6 * MCC + 0.4 * F1,"{""n_filters"": 55, ""kernel_size"": 5, ""dense_neurons"": 55, ""learning_rate"": 0.0002097711810430681, ""l2_alpha"": 2.4188358610737406e-06, ""dropout_rate"": 0.09335424006278326, ""batch_size"": 80}",0.6328021248339973,0.6323845103751552,0.6358454718176061,0.654071661237785,0.6448298008991651,0.2650314707094002,0.6724026826100094,0.6496515807474837,"[[902, 575], [531, 1004]]",0.6551153148727613,0.351622621747143
