model_type,optimizer,seed,evaluation_id,best_fitness_so_far,mean_fitness_so_far
mlp,ga,1,1,0.4125674754791554,0.4125674754791554
mlp,ga,1,2,0.4224937890581638,0.4175306322686596
mlp,ga,1,3,0.4224937890581638,0.4143374953520005
mlp,ga,1,4,0.4224937890581638,0.3559731273324158
mlp,ga,1,5,0.4224937890581638,0.3346327797832626
mlp,ga,1,6,0.4224937890581638,0.34278798430271
mlp,ga,1,7,0.4224937890581638,0.3069604625546016
mlp,ga,1,8,0.4224937890581638,0.2733275937670246
mlp,ga,1,9,0.4224937890581638,0.2895318284787957
mlp,ga,1,10,0.4224937890581638,0.29937282329301207
mlp,ga,1,11,0.4224937890581638,0.31056563836257134
mlp,ga,1,12,0.4224937890581638,0.3191071347650442
mlp,ga,1,13,0.4224937890581638,0.32547574127175377
mlp,ga,1,14,0.4224937890581638,0.3321678816218402
mlp,ga,1,15,0.4224937890581638,0.33755869953442025
mlp,ga,1,16,0.4224937890581638,0.34286714262965423
mlp,ga,1,17,0.4224937890581638,0.34657349182079544
mlp,ga,1,18,0.4224937890581638,0.3506263435278973
mlp,ga,1,19,0.4224937890581638,0.3542556144687069
mlp,ga,1,20,0.4224937890581638,0.3565129933284506
mlp,ga,1,21,0.4224937890581638,0.35965493598224646
mlp,ga,1,22,0.424907474866143,0.362620960476969
mlp,ga,1,23,0.424907474866143,0.3652228076769762
mlp,ga,1,24,0.424907474866143,0.367609098567859
mlp,ga,1,25,0.424907474866143,0.3697748688561927
mlp,ga,1,26,0.424907474866143,0.3718025196331916
mlp,ga,1,27,0.424907474866143,0.37333070761686027
mlp,ga,1,28,0.424907474866143,0.3749676718510068
mlp,ga,1,29,0.424907474866143,0.37650611390453353
mlp,ga,1,30,0.424907474866143,0.3779821628658935
mlp,ga,1,31,0.424907474866143,0.37949588260783707
mlp,ga,1,32,0.424907474866143,0.3808395671844097
mlp,ga,1,33,0.424907474866143,0.3821018163320992
mlp,ga,1,34,0.424907474866143,0.3832429871608397
mlp,ga,1,35,0.424907474866143,0.3843644386436204
mlp,ga,1,36,0.424907474866143,0.3854235872662466
mlp,ga,1,37,0.424907474866143,0.38635258844238957
mlp,ga,1,38,0.424907474866143,0.38730367266912047
mlp,ga,1,39,0.424907474866143,0.3882059833457626
mlp,ga,1,40,0.424907474866143,0.38906317848857264
mlp,ga,1,41,0.424907474866143,0.3899374296197328
mlp,ga,1,42,0.424907474866143,0.39077004974464735
mlp,ga,1,43,0.424907474866143,0.39156394335212397
mlp,ga,1,44,0.424907474866143,0.39226689439089757
mlp,ga,1,45,0.424907474866143,0.3929386031612812
mlp,ga,1,46,0.424907474866143,0.39363357863312604
mlp,ga,1,47,0.424907474866143,0.39424762566344596
mlp,ga,1,48,0.424907474866143,0.3948360874008361
mlp,ga,1,49,0.424907474866143,0.39540053029180194
mlp,ga,1,50,0.424907474866143,0.3959423954671291
mlp,ga,1,51,0.424907474866143,0.3965103382004431
mlp,ga,1,52,0.424907474866143,0.3970564369824758
mlp,ga,1,53,0.424907474866143,0.3975363870216397
mlp,ga,1,54,0.424907474866143,0.3980432590187601
mlp,ga,1,55,0.424907474866143,0.3985316993068943
mlp,ga,1,56,0.424907474866143,0.39900269529902394
mlp,ga,1,57,0.424907474866143,0.3994368932890037
mlp,ga,1,58,0.424907474866143,0.39987604124723025
mlp,ga,1,59,0.424907474866143,0.40030030283399143
mlp,ga,1,60,0.424907474866143,0.400670194271061
mlp,ga,1,61,0.424907474866143,0.4010675267398328
mlp,ga,1,62,0.424907474866143,0.4014520420321926
mlp,ga,1,63,0.424907474866143,0.40182435048987436
mlp,ga,1,64,0.424907474866143,0.40218502430825365
mlp,ga,1,65,0.424907474866143,0.4025346004706827
mlp,ga,1,66,0.424907474866143,0.40287358341606844
mlp,ga,1,67,0.424907474866143,0.40320244746756206
mlp,ga,1,68,0.424907474866143,0.403521639046953
mlp,ga,1,69,0.424907474866143,0.40383157869650643
mlp,ga,1,70,0.4269863141662824,0.40416236063178895
mlp,ga,1,71,0.4269863141662824,0.4044838247660776
mlp,ga,1,72,0.4269863141662824,0.404767486573023
mlp,ga,1,73,0.4269863141662824,0.4050718540743005
mlp,ga,1,74,0.4269863141662824,0.4052783037090515
mlp,ga,1,75,0.4269863141662824,0.405540025991146
mlp,ga,1,76,0.4269863141662824,0.4058222139934504
mlp,ga,1,77,0.4269863141662824,0.40607007452426463
mlp,ga,1,78,0.4269863141662824,0.406338231442752
mlp,ga,1,79,0.4269863141662824,0.40657328515697216
mlp,ga,1,80,0.4269863141662824,0.4068284480195885
mlp,ga,1,81,0.4269863141662824,0.40707731056460944
mlp,ga,1,82,0.4269863141662824,0.4073201032914592
mlp,ga,1,83,0.4269863141662824,0.40755704559115585
mlp,ga,1,84,0.4269863141662824,0.4077883464075264
mlp,ga,1,85,0.4269863141662824,0.40801420485174716
mlp,ga,1,86,0.4269863141662824,0.4082348107740092
mlp,ga,1,87,0.4269863141662824,0.4084503452957595
mlp,ga,1,88,0.4269863141662824,0.4086609813056517
mlp,ga,1,89,0.4269863141662824,0.4088435261771179
mlp,ga,1,90,0.4269863141662824,0.4090451127103309
mlp,ga,1,91,0.4269863141662824,0.4092422687702864
mlp,ga,1,92,0.4269863141662824,0.4094351388289386
mlp,ga,1,93,0.4269863141662824,0.4096238611443939
mlp,ga,1,94,0.4269863141662824,0.40980856809143534
mlp,ga,1,95,0.4269863141662824,0.4099893864711706
mlp,ga,1,96,0.4269863141662824,0.4101664378013277
mlp,ga,1,97,0.4269863141662824,0.41033983858859535
mlp,ga,1,98,0.4269863141662824,0.41050970058428604
mlp,ga,1,99,0.4269863141662824,0.4106761310245083
mlp,ga,1,100,0.4269863141662824,0.41083923285592605
