datetime,symbol,open,high,low,average,volume,close,business,amount_stock,SMA_3,EMA_3,std_close3,std_open3,SMA_5,EMA_5,std_close5,std_open5,SMA_7,EMA_7,std_close7,std_open7,SMA_9,EMA_9,std_close9,std_open9,SMA_5-3,EMA_5-3,SMA_7-3,EMA_7-3,SMA_7-5,EMA_7-5,SMA_9-3,EMA_9-3,SMA_9-5,EMA_9-5,SMA_9-7,EMA_9-7,valid_range,SMA_3_normalized,EMA_3_normalized,SMA_5_normalized,EMA_5_normalized,SMA_7_normalized,EMA_7_normalized,SMA_9_normalized,EMA_9_normalized,open_normalized,close_normalized,SMA_5-3_normalized,SMA_7-3_normalized,SMA_7-5_normalized,SMA_9-3_normalized,SMA_9-5_normalized,SMA_9-7_normalized,EMA_5-3_normalized,EMA_7-3_normalized,EMA_7-5_normalized,EMA_9-3_normalized,EMA_9-5_normalized,EMA_9-7_normalized,std_close3_normalized,std_close5_normalized,std_close7_normalized,std_close9_normalized,std_open3_normalized,std_open5_normalized,std_open7_normalized,std_open9_normalized,trend,id_ticker
2026-06-22 09:00:00,WINQ26,171590.0,171605.0,170245.0,170782.7006311819,88748938210.0,170465.0,196912,519660,,170465.0,,,,170465.0,,,,170465.0,,,,170465.0,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,True,0.0,-0.8272058823529411,0.0,-0.8272058823529411,0.0,-0.8272058823529411,0.0,-0.8272058823529411,0.0,-0.8272058823529411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uptrend,1
2026-06-22 09:05:00,WINQ26,170465.0,170800.0,170210.0,170517.56828738723,51283329180.0,170790.0,109653,300751,,170627.5,,,,170573.33333333334,,,,170546.25,,,,170530.0,,,,-54.166666666656965,,-81.25,,-27.083333333343035,,-97.5,,-43.333333333343035,,-16.25,True,0.0,0.2754237288135593,0.0,0.18361581920905598,0.0,0.13771186440677965,0.0,0.11016949152542373,0.0,0.5508474576271186,0.0,0.0,0.0,0.0,0.0,0.0,-0.09180790960450333,-0.13771186440677965,-0.04590395480227633,-0.1652542372881356,-0.07344632768363227,-0.02754237288135593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uptrend,1
2026-06-22 09:10:00,WINQ26,170795.0,171040.0,170710.0,170881.12696847232,53192218965.0,170885.0,101688,311282,170713.33333333334,170756.25,179.83016679324984,472.17581471312144,,170677.22222222225,,,,170630.9375,,,,170601.0,,,,-79.02777777775191,,-125.3125,,-46.28472222224809,,-155.25,,-76.22222222224809,,-29.9375,True,-0.24747474747471807,-0.11742424242424243,0.0,-0.3569023569022785,0.0,-0.4971590909090909,0.0,-0.5878787878787879,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,-0.23947811447803607,-0.3797348484848485,-0.1402567340068124,-0.47045454545454546,-0.23097643097650938,-0.09071969696969696,0.5449398993734844,0.0,0.0,0.0,1.4308358021609742,0.0,0.0,0.0,uptrend,1
2026-06-22 09:15:00,WINQ26,170880.0,171520.0,170840.0,171264.01361400323,76209574570.0,171125.0,143899,444983,170933.33333333334,170940.625,140.96886969192616,178.9941029444492,,170826.48148148152,,,,170754.453125,,,,170705.80000000002,,,,-114.14351851848187,,-186.171875,,-72.02835648151813,,-234.82499999998254,,-120.68148148150067,,-48.65312499998254,True,0.07843137254903387,0.08915441176470588,0.0,-0.0787037037036498,0.0,-0.18462775735294118,0.0,-0.25617647058820964,0.0,0.3602941176470588,0.0,0.0,0.0,0.0,0.0,0.0,-0.1678581154683557,-0.2737821691176471,-0.10592405364929137,-0.3453308823529155,-0.17747276688455982,-0.07154871323526844,0.2073071613116561,0.0,0.0,0.0,0.26322662197713115,0.0,0.0,0.0,downtrend,1
2026-06-22 09:20:00,WINQ26,171125.0,171225.0,170970.0,171101.9872554073,43485056755.0,171125.0,78141,254147,171045.0,171032.8125,113.13708498983142,139.90075847621156,170878.0,170925.987654321,245.10405953390267,374.74524680107686,,170847.08984375,,,,170789.64,,,-167.0,-106.82484567898791,,-185.72265625,,-78.89781057101209,,-243.17249999998603,,-136.34765432099812,,-57.44984374998603,True,-0.3137254901960784,-0.36151960784313725,-0.9686274509803922,-0.7804405712901487,0.0,-1.08984375,0.0,-1.315137254901906,0.0,0.0,-0.6549019607843137,0.0,0.0,0.0,0.0,0.0,-0.4189209634470114,-0.7283241421568627,-0.30940317870985135,-0.9536176470587687,-0.5346966836117574,-0.225293504901906,0.44367484309737815,0.96119239032903,0.0,0.0,0.5486304253969081,1.469589203141478,0.0,0.0,uptrend,1
2026-06-22 09:25:00,WINQ26,171120.0,171240.0,171075.0,171142.0451269303,19826977070.0,171180.0,37543,115851,171143.33333333334,171106.40625,25.92724864350331,114.33381924093582,171021.0,171010.65843621403,154.12332724152728,243.73346097735535,,170930.3173828125,,,,170867.71200000003,,,-122.33333333334303,-95.74781378597254,,-176.0888671875,,-80.34105340152746,,-238.69424999997136,,-142.94643621399882,,-62.60538281247136,True,0.14141414141420022,-0.08238636363636363,-0.6,-0.6626761441574093,0.0,-1.1495916193181819,0.0,-1.5290181818180082,0.0,0.36363636363636365,-0.7414141414142003,0.0,0.0,0.0,0.0,0.0,-0.5802897805210457,-1.0672052556818181,-0.4869154751607725,-1.4466318181816447,-0.8663420376605989,-0.3794265624998264,0.15713484026365643,0.9340807711607714,0.0,0.0,0.6929322378238535,1.4771724907718506,0.0,0.0,uptrend,1
2026-06-22 09:30:00,WINQ26,171175.0,171415.0,171170.0,171313.31112491485,34198248420.0,171365.0,62362,199624,171223.33333333334,171235.703125,102.65909062955865,24.83277404286958,171136.0,171128.77229080937,153.37535656029917,151.83543723386842,170990.7142857143,171038.98803710938,277.7001025184786,326.9306860320504,,170967.16960000002,,,-87.33333333334303,-106.93083419062896,-232.61904761905316,-196.715087890625,-145.28571428571013,-89.78425369999604,,-268.5335249999771,,-161.60269080934813,,-71.81843710935209,True,0.19727891156466545,0.24776785714285715,-0.15918367346938775,-0.18868452730868962,-0.7521865889212658,-0.5551508689413265,0.0,-0.848287346938682,0.0,0.7755102040816326,-0.3564625850340532,-0.9494655004859313,-0.5930029154518781,0.0,0.0,0.0,-0.43645238445154677,-0.8029187260841837,-0.3664663416326369,-1.0960552040815392,-0.6596028196299923,-0.2931364779973555,0.41901669644717815,0.6260218635114252,1.1334698061978719,0.0,0.10135826139946767,0.6197364785055853,1.334410963396124,0.0,downtrend,1
2026-06-22 09:35:00,WINQ26,171360.0,171440.0,171130.0,171296.2199120048,36052030220.0,171290.0,69932,210466,171278.33333333334,171262.8515625,75.97514213360009,102.65909062954802,171217.0,171182.51486053958,95.42536350467262,153.3166657607711,171108.57142857142,171101.74102783203,191.1565231074437,275.67727360751536,,171031.73568,,,-61.333333333343035,-80.3367019604193,-169.76190476192278,-161.11053466796875,-108.42857142857974,-80.77383270754945,,-231.1158824999875,,-150.7791805395682,,-70.00534783201874,True,-0.26344086021502244,-0.3133820564516129,-0.4612903225806452,-0.5725327079368364,-0.8110599078341282,-0.8330934586063508,0.0,-1.0589171612902821,0.0,-0.22580645161290322,-0.1978494623656227,-0.5476190476191057,-0.34976958525348306,0.0,0.0,0.0,-0.25915065148522354,-0.5197114021547379,-0.26056075066951434,-0.7455351048386694,-0.48638445335344577,-0.22582370268393143,0.24508110365677446,0.3078237532408794,0.6166339455078829,0.0,0.33115835686950973,0.4945698895508745,0.8892815277661786,0.0,uptrend,1
2026-06-22 09:40:00,WINQ26,171285.0,171500.0,171225.0,171349.69227883147,26488606230.0,171410.0,49084,154588,171355.0,171336.42578125,49.49747468303848,75.97514213358572,171274.0,171258.34324035974,107.76826991280367,94.47751055145346,171197.14285714287,171178.80577087402,164.85615251000243,188.85800734617587,171070.55555555556,171107.38854400002,288.2557163781656,314.8191720831343,-81.0,-78.08254089026013,-157.85714285713038,-157.62001037597656,-76.85714285713038,-79.53746948571643,-284.444444444438,-229.03723724998417,-203.44444444443798,-150.95469635972404,-126.58730158730759,-71.41722687400761,True,0.2545454545454545,0.18700284090909092,-0.04,-0.09693367141912776,-0.3194805194804741,-0.3861608331853693,-0.7797979797979563,-0.6458598399999425,0.0,0.45454545454545453,-0.29454545454545455,-0.5740259740259287,-0.27948051948047414,-1.0343434343434108,-0.7397979797979563,-0.46031746031748216,-0.28393651232821865,-0.5731636740944602,-0.2892271617662416,-0.8328626809090334,-0.5489261685808147,-0.25969900681457314,0.17999081702923084,0.39188461786474066,0.5994769182181907,1.0482026050115112,0.2762732441221299,0.34355458382346715,0.6867563903497305,1.1447969893932155,downtrend,1
2026-06-22 09:45:00,WINQ26,171410.0,171445.0,171290.0,171364.0109160597,27362205715.0,171365.0,48449,159673,171355.0,171350.712890625,49.49747468303848,51.37011669137053,171322.0,171293.89549357316,80.78366171447607,109.04127658827184,171265.7142857143,171225.35432815552,112.16787709969546,165.48013013463517,171170.55555555556,171158.91083520002,204.89081705527377,286.7829221631644,-33.0,-56.81739705184009,-89.28571428571013,-125.35856246948242,-56.28571428571013,-68.54116541764233,-184.44444444443798,-191.80205542498152,-151.44444444443798,-134.98465837314143,-95.15873015872785,-66.4434929554991,True,-0.3548387096774194,-0.3824974798387097,-0.567741935483871,-0.749061331786065,-0.9308755760368396,-1.1912623989966609,-1.5448028673834708,-1.6199300954837517,0.0,-0.2903225806451613,-0.2129032258064516,-0.5760368663594202,-0.3631336405529686,-1.1899641577060516,-0.9770609318995999,-0.6139272913466313,-0.3665638519473554,-0.8087649191579511,-0.4422010672105957,-1.2374326156450421,-0.8708687636976866,-0.42866769648709097,0.3193385463421838,0.5211849142869424,0.7236637232238416,1.3218762390662824,0.33142010768626146,0.7034921070211086,1.067613742804098,1.8502124010526737,uptrend,1
